run_id,family,dim,N,alpha_target,checks.count_sum_matches,checks.decompose_mass_matches,checks.sample_valid,checks.empty_output_consistent,checks.materialized_join_matches,checks.materialized_join_size,checks.pair_tv_to_uniform,checks.left_tv_to_theory
correctness_d2_N2000_a0p1_t200000_F0_rep0,F0,2,2000,0.1,True,True,True,True,True,403,0.0174365,0.0163579
correctness_d2_N2000_a0p1_t200000_F1_rep0,F1,2,2000,0.1,True,True,True,True,True,404,0.0190787,0.0179287
correctness_d2_N2000_a100_t200000_F0_rep0,F0,2,2000,100.0,True,True,True,True,True,396662,0.604195,0.0401984
correctness_d2_N2000_a100_t200000_F1_rep0,F1,2,2000,100.0,True,True,True,True,True,407896,0.612693,0.0393889
correctness_d2_N2000_a10_t200000_F0_rep0,F0,2,2000,10.0,True,True,True,True,True,40195,0.176485,0.0395467
correctness_d2_N2000_a10_t200000_F1_rep0,F1,2,2000,10.0,True,True,True,True,True,39624,0.17516,0.0406645
correctness_d3_N2000_a0p1_t200000_F0_rep0,F0,3,2000,0.1,True,True,True,True,True,384,0.0177217,0.0171167
correctness_d3_N2000_a0p1_t200000_F1_rep0,F1,3,2000,0.1,True,True,True,True,True,422,0.0190857,0.0178103
correctness_d3_N2000_a100_t200000_F0_rep0,F0,3,2000,100.0,True,True,True,True,True,394294,0.601777,0.0393397
correctness_d3_N2000_a100_t200000_F1_rep0,F1,3,2000,100.0,True,True,True,True,True,393214,0.601375,0.0404594
correctness_d3_N2000_a10_t200000_F0_rep0,F0,3,2000,10.0,True,True,True,True,True,39544,0.175209,0.0400895
correctness_d3_N2000_a10_t200000_F1_rep0,F1,3,2000,10.0,True,True,True,True,True,38853,0.17541,0.0382218
correctness_d4_N2000_a0p1_t200000_F0_rep0,F0,4,2000,0.1,True,True,True,True,True,405,0.0184063,0.0173063
correctness_d4_N2000_a0p1_t200000_F1_rep0,F1,4,2000,0.1,True,True,True,True,True,388,0.0179923,0.016753
correctness_d4_N2000_a100_t200000_F0_rep0,F0,4,2000,100.0,True,True,True,True,True,409133,0.613316,0.0405645
correctness_d4_N2000_a100_t200000_F1_rep0,F1,4,2000,100.0,True,True,True,True,True,397528,0.604,0.038888
correctness_d4_N2000_a10_t200000_F0_rep0,F0,4,2000,10.0,True,True,True,True,True,40105,0.176312,0.0386022
correctness_d4_N2000_a10_t200000_F1_rep0,F1,4,2000,10.0,True,True,True,True,True,39802,0.174893,0.0394278
correctness_d5_N2000_a0p1_t200000_F0_rep0,F0,5,2000,0.1,True,True,True,True,True,407,0.0186875,0.0171485
correctness_d5_N2000_a0p1_t200000_F1_rep0,F1,5,2000,0.1,True,True,True,True,True,399,0.0168145,0.016147
correctness_d5_N2000_a100_t200000_F0_rep0,F0,5,2000,100.0,True,True,True,True,True,400110,0.606981,0.040153
correctness_d5_N2000_a100_t200000_F1_rep0,F1,5,2000,100.0,True,True,True,True,True,395853,0.603237,0.0378915
correctness_d5_N2000_a10_t200000_F0_rep0,F0,5,2000,10.0,True,True,True,True,True,39788,0.175919,0.0401738
correctness_d5_N2000_a10_t200000_F1_rep0,F1,5,2000,10.0,True,True,True,True,True,39277,0.174707,0.0387153
