run_id,network,dim,N,alpha_target,t,family,rep,dataset_seed,sample_seed,materialize_join
correctness_d2_N2000_a0p1_t200000_F0_rep0,correctness,2,2000,0.1,200000,F0,0,1676322064832472753,6804676995674974279,1
correctness_d2_N2000_a10_t200000_F0_rep0,correctness,2,2000,10.0,200000,F0,0,514944488296891712,7672370861433703001,1
correctness_d2_N2000_a100_t200000_F0_rep0,correctness,2,2000,100.0,200000,F0,0,3105855594600311681,2984951137004908357,1
density_d2_N50000_a0p1_t200000_F0_rep0,density,2,50000,0.1,200000,F0,0,7738192139193659308,2023727538934906217,0
density_d2_N50000_a1_t200000_F0_rep0,density,2,50000,1.0,200000,F0,0,3071926128778153638,1140325481990206778,0
density_d2_N50000_a10_t200000_F0_rep0,density,2,50000,10.0,200000,F0,0,1215120460239507726,4025047839410490629,0
density_d2_N50000_a100_t200000_F0_rep0,density,2,50000,100.0,200000,F0,0,6272873623119594790,4523724872338148567,0
input_size_d2_N10000_a10_t200000_F0_rep0,input_size,2,10000,10.0,200000,F0,0,3776394421942182453,3598747677606844024,0
input_size_d2_N50000_a10_t200000_F0_rep0,input_size,2,50000,10.0,200000,F0,0,1215120460239507726,1188422347943358790,0
input_size_d2_N100000_a10_t200000_F0_rep0,input_size,2,100000,10.0,200000,F0,0,350492956203575419,5351333654795928418,0
sample_size_d2_N50000_a10_t10000_F0_rep0,sample_size,2,50000,10.0,10000,F0,0,1215120460239507726,1042194052061569438,0
sample_size_d2_N50000_a10_t50000_F0_rep0,sample_size,2,50000,10.0,50000,F0,0,1215120460239507726,4369835335258512454,0
sample_size_d2_N50000_a10_t200000_F0_rep0,sample_size,2,50000,10.0,200000,F0,0,1215120460239507726,7719763876521368916,0
sample_size_d2_N50000_a10_t1000000_F0_rep0,sample_size,2,50000,10.0,1000000,F0,0,1215120460239507726,6878922437363465538,0
density_d2_N50000_a0p1_t200000_F0_rep1,density,2,50000,0.1,200000,F0,1,4937422631958975495,6454573081574690081,0
density_d2_N50000_a1_t200000_F0_rep1,density,2,50000,1.0,200000,F0,1,3143035246492164281,9020335303442130897,0
density_d2_N50000_a10_t200000_F0_rep1,density,2,50000,10.0,200000,F0,1,2888604443187167514,4646017321338865741,0
density_d2_N50000_a100_t200000_F0_rep1,density,2,50000,100.0,200000,F0,1,929258787770067016,4606263313746395544,0
input_size_d2_N10000_a10_t200000_F0_rep1,input_size,2,10000,10.0,200000,F0,1,6891942341177750520,6586050470782741232,0
input_size_d2_N50000_a10_t200000_F0_rep1,input_size,2,50000,10.0,200000,F0,1,2888604443187167514,1918432726487402371,0
input_size_d2_N100000_a10_t200000_F0_rep1,input_size,2,100000,10.0,200000,F0,1,322864873997011072,7390264327713260488,0
sample_size_d2_N50000_a10_t10000_F0_rep1,sample_size,2,50000,10.0,10000,F0,1,2888604443187167514,1274197713240995361,0
sample_size_d2_N50000_a10_t50000_F0_rep1,sample_size,2,50000,10.0,50000,F0,1,2888604443187167514,3110266048221029024,0
sample_size_d2_N50000_a10_t200000_F0_rep1,sample_size,2,50000,10.0,200000,F0,1,2888604443187167514,7354136516816948154,0
sample_size_d2_N50000_a10_t1000000_F0_rep1,sample_size,2,50000,10.0,1000000,F0,1,2888604443187167514,2982755734572063794,0
density_d2_N50000_a0p1_t200000_F0_rep2,density,2,50000,0.1,200000,F0,2,8520850636557022953,5319842297420454031,0
density_d2_N50000_a1_t200000_F0_rep2,density,2,50000,1.0,200000,F0,2,4975786818301443731,756062702768970268,0
density_d2_N50000_a10_t200000_F0_rep2,density,2,50000,10.0,200000,F0,2,2026696054266577038,5897147155797429287,0
density_d2_N50000_a100_t200000_F0_rep2,density,2,50000,100.0,200000,F0,2,3240000506936648620,9071364448568076854,0
input_size_d2_N10000_a10_t200000_F0_rep2,input_size,2,10000,10.0,200000,F0,2,5762282041022916912,6532077173316026460,0
input_size_d2_N50000_a10_t200000_F0_rep2,input_size,2,50000,10.0,200000,F0,2,2026696054266577038,4528713291789532914,0
input_size_d2_N100000_a10_t200000_F0_rep2,input_size,2,100000,10.0,200000,F0,2,3742726513013037047,2666707173163656969,0
sample_size_d2_N50000_a10_t10000_F0_rep2,sample_size,2,50000,10.0,10000,F0,2,2026696054266577038,3615264448503921873,0
sample_size_d2_N50000_a10_t50000_F0_rep2,sample_size,2,50000,10.0,50000,F0,2,2026696054266577038,4061789147828883443,0
sample_size_d2_N50000_a10_t200000_F0_rep2,sample_size,2,50000,10.0,200000,F0,2,2026696054266577038,1796762851152955230,0
sample_size_d2_N50000_a10_t1000000_F0_rep2,sample_size,2,50000,10.0,1000000,F0,2,2026696054266577038,5874247319083370954,0
correctness_d2_N2000_a0p1_t200000_F1_rep0,correctness,2,2000,0.1,200000,F1,0,1619709085839481450,9011456188213649730,1
correctness_d2_N2000_a10_t200000_F1_rep0,correctness,2,2000,10.0,200000,F1,0,8485667784063193686,2727297174656859187,1
