depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,4,0.993949,0.995156,0.995469,0.976218,0.976218,0.976218
1,2,8,0.765221,0.992888,0.993486,0.254992,0.259131,0.260063
2,4,16,0.50379,0.535267,0.541717,0.0659487,0.068727,0.0696521
3,8,32,0.390158,0.50962,0.53846,0.0167753,0.0196884,0.0200886
4,16,64,0.256148,0.288979,0.317761,0.00438266,0.0055609,0.00660383
5,32,128,0.214818,0.274073,0.310407,0.00128044,0.00167029,0.00229798
6,64,256,0.133909,0.160517,0.181649,0.000348965,0.000451106,0.000543552
7,128,512,0.109578,0.144736,0.170317,0.000100898,0.000138483,0.000213191
8,256,1024,0.0704822,0.0907616,0.114691,2.64108e-05,4.19377e-05,5.6315e-05
9,512,2048,0.056243,0.0767077,0.103286,7.13183e-06,1.27102e-05,2.13563e-05
10,1024,4096,0.0349046,0.051562,0.0723634,1.61407e-06,3.23912e-06,5.46782e-06
11,2048,8192,0.023965,0.0389181,0.0583672,2.86757e-07,7.6069e-07,1.61895e-06
12,4096,16384,0.0123935,0.0238624,0.0412382,2.04247e-08,1.01999e-07,2.89757e-07
13,8192,32768,0,0.0101051,0.0235982,0,2.08791e-09,2.26179e-08
14,3617,14468,0,0,0,0,0,0
