group_size,count
4,1
7,1
9,1
11,1
12,1
13,1
14,2
15,2
16,1
17,1
18,3
20,7
22,3
23,6
24,5
25,6
26,13
27,3
28,5
29,6
30,12
31,13
32,6
33,8
34,14
35,11
36,12
37,6
38,11
39,27
40,29
41,25
42,26
43,23
44,29
45,47
46,30
47,46
48,39
49,38
50,49
51,66
52,50
53,56
54,68
55,64
56,89
57,91
58,91
59,102
60,87
61,106
62,116
63,128
64,126
65,126
66,150
67,154
68,164
69,154
70,185
71,179
72,225
73,208
74,195
75,230
76,218
77,232
78,225
79,242
80,245
81,272
82,272
83,241
84,269
85,283
86,285
87,279
88,294
89,275
90,290
91,307
92,273
93,316
94,334
95,293
96,263
97,287
98,316
99,314
100,299
101,261
102,274
103,278
104,295
105,297
106,284
107,284
108,245
109,288
110,252
111,240
112,255
113,249
114,225
115,220
116,223
117,202
118,220
119,203
120,191
121,195
122,177
123,194
124,160
125,164
126,159
127,145
128,144
129,148
130,142
131,119
132,119
133,114
134,134
135,113
136,99
137,116
138,92
139,98
140,80
141,77
142,66
143,87
144,61
145,93
146,70
147,69
148,62
149,51
150,53
151,55
152,54
153,39
154,34
155,40
156,40
157,38
158,24
159,23
160,41
161,27
162,29
163,30
164,18
165,24
166,22
167,17
168,23
169,15
170,21
171,11
172,11
173,11
174,15
175,15
176,14
177,10
178,14
179,4
180,13
181,5
182,8
183,9
184,9
185,6
186,10
187,5
188,3
189,7
190,9
191,4
192,5
193,7
194,5
195,5
196,2
197,3
198,1
199,6
200,1
201,2
202,4
203,4
204,5
205,2
207,3
208,2
209,5
210,2
211,2
212,2
214,5
216,1
218,2
219,1
221,1
222,2
223,2
226,2
227,1
229,1
231,2
232,1
234,1
235,1
243,1
244,1
245,1
248,1
249,2
253,1
259,1
261,1
274,1
290,1
