group_idx,group_size,K_point,K_subtree
0,61,43,18
1,131,71,60
2,90,38,52
3,130,100,30
4,48,21,27
5,90,70,20
6,130,65,65
7,108,77,31
8,73,40,33
9,29,17,12
10,121,77,44
11,113,68,45
12,35,20,15
13,83,48,35
14,62,28,34
15,199,151,48
16,21,17,4
17,133,82,51
18,111,66,45
19,122,69,53
20,22,2,20
21,104,57,47
22,116,108,8
23,92,45,47
24,178,95,83
25,105,74,31
26,153,102,51
27,78,31,47
28,98,45,53
29,65,40,25
30,28,17,11
31,57,11,46
32,86,45,41
33,145,113,32
34,110,88,22
35,34,25,9
36,142,100,42
37,145,57,88
38,53,20,33
39,73,37,36
40,125,68,57
41,105,82,23
42,68,27,41
43,20,6,14
44,91,44,47
45,50,34,16
46,91,55,36
47,70,41,29
48,101,57,44
49,150,71,79
50,127,89,38
51,133,94,39
52,99,41,58
53,91,47,44
54,80,59,21
55,43,26,17
56,97,60,37
57,84,64,20
58,90,47,43
59,61,23,38
60,69,41,28
61,88,51,37
62,140,88,52
63,104,55,49
64,61,39,22
65,160,101,59
66,45,18,27
67,64,37,27
68,93,59,34
69,148,77,71
70,149,93,56
71,88,25,63
72,126,70,56
73,116,50,66
74,112,78,34
75,137,92,45
76,105,48,57
77,178,96,82
78,86,64,22
79,172,133,39
80,87,54,33
81,147,78,69
82,147,79,68
83,102,47,55
84,143,90,53
85,33,14,19
86,34,20,14
87,44,20,24
88,49,16,33
89,103,35,68
90,116,96,20
91,121,79,42
92,132,68,64
93,125,58,67
94,197,110,87
95,122,64,58
96,121,65,56
97,106,83,23
98,197,151,46
99,104,58,46
100,71,44,27
101,114,62,52
102,66,35,31
103,93,45,48
104,98,59,39
105,79,63,16
106,54,31,23
107,106,68,38
108,24,12,12
109,57,36,21
110,62,36,26
111,2,0,2
112,76,43,33
113,210,83,127
114,45,39,6
115,140,99,41
116,97,68,29
117,80,63,17
118,79,42,37
119,38,38,0
120,53,36,17
121,151,123,28
122,58,24,34
123,91,18,73
124,133,76,57
125,96,69,27
126,119,74,45
127,34,20,14
128,56,41,15
129,53,36,17
130,161,72,89
131,192,95,97
132,15,9,6
133,124,64,60
134,74,65,9
135,82,37,45
136,46,28,18
