left_idx,w,V_count,P_count,C_count,H_count,S_prune,S_contain,D_count_max,V_search,P_search,B_mid,B_leaf,B_subtree,m,M_point,M_subtree,rho,sigma,avg_subtree_mass
0,13,67,26,6,35,19932,1,14,61,26,6,0,6,12,6,7,1.08333,0.538462,1.16667
1,20,238,104,11,123,19761,1,14,227,104,8,0,11,19,8,12,1.05263,0.6,1.09091
2,29,190,80,12,98,19807,3,14,178,80,14,0,12,26,14,15,1.11538,0.517241,1.25
3,12,165,75,6,84,19835,0,14,159,75,6,0,6,12,6,6,1,0.5,1
4,6,164,79,1,84,19836,0,14,163,79,5,0,1,6,5,1,1,0.166667,1
5,18,168,74,7,87,19828,4,14,161,74,7,0,7,14,7,11,1.28571,0.611111,1.57143
6,24,226,99,8,119,19773,1,14,218,99,15,0,8,23,15,9,1.04348,0.375,1.125
7,14,102,45,4,53,19898,0,14,98,45,10,0,4,14,10,4,1,0.285714,1
8,9,110,51,4,55,19890,0,14,106,51,5,0,4,9,5,4,1,0.444444,1
9,16,196,86,7,103,19804,0,14,189,86,9,0,7,16,9,7,1,0.4375,1
10,16,169,79,4,86,19830,1,14,165,79,11,0,4,15,11,5,1.06667,0.3125,1.25
11,18,162,68,9,85,19836,2,14,153,68,7,0,9,16,7,11,1.125,0.611111,1.22222
12,25,176,76,10,90,19820,4,14,166,76,11,0,10,21,11,14,1.19048,0.56,1.4
13,10,127,57,5,65,19872,1,14,122,57,4,0,5,9,4,6,1.11111,0.6,1.2
14,22,203,89,10,104,19796,1,14,193,89,11,0,10,21,11,11,1.04762,0.5,1.1
15,6,106,51,2,53,19893,1,14,104,51,3,0,2,5,3,3,1.2,0.5,1.5
16,20,169,74,7,88,19831,0,14,162,74,13,0,7,20,13,7,1,0.35,1
17,23,253,114,7,132,19747,0,14,246,114,16,0,7,23,16,7,1,0.304348,1
18,25,54,21,5,28,19936,10,14,49,21,10,0,5,15,10,15,1.66667,0.6,3
19,15,112,47,7,58,19888,0,14,105,47,8,0,7,15,8,7,1,0.466667,1
20,25,129,53,8,68,19868,3,14,121,53,14,0,8,22,14,11,1.13636,0.44,1.375
21,16,140,65,4,71,19856,4,14,136,65,8,0,4,12,8,8,1.33333,0.5,2
22,17,212,99,4,109,19787,1,14,208,99,12,0,4,16,12,5,1.0625,0.294118,1.25
23,30,201,87,11,103,19796,3,14,190,87,16,0,11,27,16,14,1.11111,0.466667,1.27273
24,30,220,97,8,115,19773,7,14,212,97,15,0,8,23,15,15,1.30435,0.5,1.875
25,28,348,159,9,180,19651,1,14,339,159,18,0,9,27,18,10,1.03704,0.357143,1.11111
26,24,161,71,8,82,19835,4,14,153,71,12,0,8,20,12,12,1.2,0.5,1.5
27,24,244,107,11,126,19756,0,14,233,107,13,0,11,24,13,11,1,0.458333,1
28,7,96,43,4,49,19904,0,14,92,43,3,0,4,7,3,4,1,0.571429,1
29,20,128,54,9,65,19867,5,14,119,54,6,0,9,15,6,14,1.33333,0.7,1.55556
30,26,320,141,13,166,19678,2,14,307,141,11,0,13,24,11,15,1.08333,0.576923,1.15385
31,29,309,136,15,158,19688,3,14,294,136,11,0,15,26,11,18,1.11538,0.62069,1.2
32,22,447,207,11,229,19553,0,14,436,207,11,0,11,22,11,11,1,0.5,1
33,20,286,127,10,149,19714,0,14,276,127,10,0,10,20,10,10,1,0.5,1
34,28,220,92,12,116,19780,0,14,208,92,16,0,12,28,16,12,1,0.428571,1
35,12,137,62,6,69,19863,0,14,131,62,6,0,6,12,6,6,1,0.5,1
36,26,202,86,11,105,19795,3,14,191,86,12,0,11,23,12,14,1.13043,0.538462,1.27273
37,14,264,124,4,136,19736,0,14,260,124,10,0,4,14,10,4,1,0.285714,1
38,31,324,146,11,167,19676,0,14,313,146,20,0,11,31,20,11,1,0.354839,1
39,23,235,105,9,121,19763,2,14,226,105,12,0,9,21,12,11,1.09524,0.478261,1.22222
40,15,162,73,6,83,19836,2,14,156,73,7,0,6,13,7,8,1.15385,0.533333,1.33333
41,11,123,57,2,64,19877,0,14,121,57,9,0,2,11,9,2,1,0.181818,1
42,31,177,71,13,93,19820,3,14,164,71,15,0,13,28,15,16,1.10714,0.516129,1.23077
43,18,158,73,5,80,19840,2,14,153,73,11,0,5,16,11,7,1.125,0.388889,1.4
44,16,179,81,6,92,19820,1,14,173,81,9,0,6,15,9,7,1.06667,0.4375,1.16667
45,28,231,102,7,122,19767,2,14,224,102,19,0,7,26,19,9,1.07692,0.321429,1.28571
46,16,180,81,6,93,19820,0,14,174,81,10,0,6,16,10,6,1,0.375,1
47,16,166,76,6,84,19829,5,14,160,76,5,0,6,11,5,11,1.45455,0.6875,1.83333
48,35,351,160,13,178,19644,5,14,338,160,17,0,13,30,17,18,1.16667,0.514286,1.38462
49,25,155,57,16,82,19845,0,14,139,57,9,0,16,25,9,16,1,0.64,1
50,27,225,96,11,118,19774,1,14,214,96,15,0,11,26,15,12,1.03846,0.444444,1.09091
51,26,294,130,11,153,19706,0,14,283,130,15,0,11,26,15,11,1,0.423077,1
52,32,374,167,13,194,19623,3,14,361,167,16,0,13,29,16,16,1.10345,0.5,1.23077
53,27,370,165,12,193,19629,1,14,358,165,14,0,12,26,14,13,1.03846,0.481481,1.08333
54,27,345,156,11,178,19653,2,14,334,156,14,0,11,25,14,13,1.08,0.481481,1.18182
55,15,69,30,4,35,19926,5,14,65,30,6,0,4,10,6,9,1.5,0.6,2.25
56,21,129,54,4,71,19871,0,14,125,54,17,0,4,21,17,4,1,0.190476,1
57,33,216,92,11,113,19777,7,14,205,92,15,0,11,26,15,18,1.26923,0.545455,1.63636
58,3,54,25,2,27,19946,0,14,52,25,1,0,2,3,1,2,1,0.666667,1
59,38,373,164,18,191,19622,5,14,355,164,15,0,18,33,15,23,1.15152,0.605263,1.27778
60,9,167,77,3,87,19833,0,14,164,77,6,0,3,9,6,3,1,0.333333,1
61,20,149,59,10,80,19851,0,14,139,59,10,0,10,20,10,10,1,0.5,1
62,13,230,105,5,120,19769,1,14,225,105,7,0,5,12,7,6,1.08333,0.461538,1.2
63,15,187,87,5,95,19812,1,14,182,87,9,0,5,14,9,6,1.07143,0.4,1.2
64,8,62,26,4,32,19938,0,14,58,26,4,0,4,8,4,4,1,0.5,1
65,8,71,31,4,36,19929,0,14,67,31,4,0,4,8,4,4,1,0.5,1
