group_size,count
25,1
33,1
36,1
37,2
38,2
39,1
40,1
41,1
42,3
43,3
44,6
45,5
46,7
47,6
48,5
49,5
50,7
51,4
52,6
53,11
54,6
55,6
56,12
57,20
58,9
59,13
60,21
61,15
62,15
63,11
64,15
65,17
66,21
67,25
68,20
69,14
70,18
71,24
72,9
73,21
74,10
75,15
76,13
77,14
78,23
79,17
80,10
81,22
82,20
83,10
84,19
85,16
86,24
87,14
88,20
89,17
90,18
91,19
92,12
93,22
94,19
95,23
96,27
97,26
98,25
99,18
100,21
101,21
102,22
103,30
104,27
105,38
106,28
107,31
108,38
109,23
110,38
111,41
112,45
113,39
114,35
115,39
116,34
117,33
118,39
119,32
120,40
121,21
122,31
123,27
124,34
125,30
126,27
127,31
128,22
129,19
130,18
131,22
132,18
133,13
134,15
135,16
136,11
137,11
138,3
139,13
140,9
141,9
142,5
143,3
144,2
145,5
146,6
147,4
148,2
149,1
150,2
151,4
152,2
153,2
155,2
156,1
158,1
175,1
