group_size,count
411,1
414,1
420,1
424,1
425,1
428,2
429,1
430,1
432,1
433,4
434,2
435,1
437,2
438,4
439,1
440,3
441,2
442,3
443,2
444,2
445,3
446,2
447,3
448,1
449,4
450,4
451,2
452,2
453,6
454,7
455,3
457,4
458,5
459,4
460,8
461,8
462,4
463,6
464,7
465,3
466,7
467,6
468,2
469,4
470,8
471,6
472,5
473,6
474,7
475,5
476,4
477,4
478,4
479,6
480,4
481,5
482,2
483,6
484,4
485,2
486,9
487,2
488,6
489,7
490,7
491,8
492,9
493,4
494,4
495,2
496,6
497,4
498,4
499,3
500,4
501,3
502,2
503,6
504,1
505,1
506,4
507,1
508,3
509,3
512,2
513,1
514,1
515,1
517,2
519,1
520,1
521,1
527,1
531,1
900,1
901,1
904,1
906,1
912,2
916,1
923,1
927,1
932,1
935,1
936,2
937,1
940,2
941,1
942,1
943,1
949,2
952,1
953,1
954,1
956,1
961,1
962,1
968,2
969,2
974,1
976,1
985,1
986,3
991,1
994,1
1017,1
1037,1
1390,1
1418,1
