group_idx,group_size,K_point,K_subtree
0,494,494,0
1,516,0,516
2,440,0,440
3,478,478,0
4,530,0,530
5,512,512,0
6,510,510,0
7,468,0,468
8,498,0,498
9,506,0,506
10,519,519,0
11,523,523,0
12,499,499,0
13,506,506,0
14,530,530,0
15,499,499,0
16,510,0,510
17,486,486,0
18,477,0,477
19,492,492,0
20,517,0,517
21,494,494,0
22,509,509,0
23,489,489,0
24,1029,487,542
25,486,486,0
26,463,463,0
27,1001,522,479
28,475,475,0
29,463,0,463
30,507,507,0
31,960,496,464
32,509,509,0
33,478,0,478
34,489,0,489
35,953,478,475
36,492,492,0
37,528,0,528
38,528,528,0
39,522,0,522
40,514,0,514
41,477,0,477
42,965,479,486
43,506,0,506
44,495,0,495
45,464,0,464
46,518,518,0
47,508,0,508
48,504,0,504
49,483,483,0
50,483,483,0
51,485,485,0
52,452,0,452
53,484,484,0
54,500,0,500
55,498,0,498
56,1002,510,492
57,470,470,0
58,499,499,0
59,466,0,466
60,502,0,502
61,499,499,0
62,491,491,0
63,513,513,0
64,498,498,0
65,518,518,0
66,500,0,500
67,531,0,531
68,460,0,460
69,953,0,953
70,489,0,489
71,507,0,507
72,518,518,0
73,472,472,0
74,475,475,0
75,1012,476,536
76,518,0,518
77,491,0,491
78,511,511,0
79,490,0,490
80,480,480,0
81,489,0,489
82,482,0,482
83,496,0,496
84,472,472,0
85,474,474,0
86,522,522,0
87,469,469,0
88,505,505,0
89,492,0,492
90,989,522,467
91,461,461,0
92,522,0,522
93,1006,478,528
94,535,0,535
95,1007,0,1007
96,505,505,0
97,495,0,495
98,534,534,0
99,510,510,0
100,469,469,0
101,479,479,0
102,490,490,0
103,519,0,519
104,482,0,482
105,505,505,0
106,954,456,498
107,505,505,0
108,536,0,536
109,479,479,0
110,524,0,524
111,502,502,0
112,487,487,0
113,477,477,0
114,528,528,0
115,491,491,0
116,992,493,499
117,476,476,0
118,456,456,0
119,477,477,0
120,507,0,507
121,524,524,0
122,524,524,0
123,475,475,0
124,483,0,483
125,925,925,0
126,488,0,488
127,961,502,459
128,473,0,473
129,514,0,514
130,499,0,499
131,495,0,495
132,532,0,532
133,470,470,0
