left_idx,w,V_count,P_count,C_count,H_count,S_prune,S_contain,D_count_max,V_search,P_search,B_mid,B_leaf,B_subtree,m,M_point,M_subtree,rho,sigma,avg_subtree_mass
0,0,43,22,0,21,1957,0,10,43,22,0,0,0,0,0,0,nan,nan,nan
1,0,31,16,0,15,1969,0,9,31,16,0,0,0,0,0,0,nan,nan,nan
2,1,21,11,0,10,1979,0,10,21,11,1,0,0,1,1,0,1,0,nan
3,0,19,10,0,9,1981,0,9,19,10,0,0,0,0,0,0,nan,nan,nan
4,1,21,10,1,10,1979,0,10,20,10,0,0,1,1,0,1,1,1,1
5,0,21,11,0,10,1979,0,10,21,11,0,0,0,0,0,0,nan,nan,nan
6,0,19,10,0,9,1981,0,9,19,10,0,0,0,0,0,0,nan,nan,nan
7,1,57,28,1,28,1943,0,10,56,28,0,0,1,1,0,1,1,1,1
8,0,39,20,0,19,1961,0,9,39,20,0,0,0,0,0,0,nan,nan,nan
9,0,29,15,0,14,1971,0,9,29,15,0,0,0,0,0,0,nan,nan,nan
10,0,37,19,0,18,1963,0,9,37,19,0,0,0,0,0,0,nan,nan,nan
11,0,27,14,0,13,1973,0,10,27,14,0,0,0,0,0,0,nan,nan,nan
12,0,13,7,0,6,1987,0,6,13,7,0,0,0,0,0,0,nan,nan,nan
13,0,29,15,0,14,1971,0,10,29,15,0,0,0,0,0,0,nan,nan,nan
14,1,23,12,0,11,1977,0,10,23,12,1,0,0,1,1,0,1,0,nan
15,0,21,11,0,10,1979,0,7,21,11,0,0,0,0,0,0,nan,nan,nan
16,0,33,17,0,16,1967,0,10,33,17,0,0,0,0,0,0,nan,nan,nan
17,0,29,15,0,14,1971,0,10,29,15,0,0,0,0,0,0,nan,nan,nan
18,0,21,11,0,10,1979,0,10,21,11,0,0,0,0,0,0,nan,nan,nan
19,0,33,17,0,16,1967,0,10,33,17,0,0,0,0,0,0,nan,nan,nan
20,0,27,14,0,13,1973,0,10,27,14,0,0,0,0,0,0,nan,nan,nan
21,0,27,14,0,13,1973,0,10,27,14,0,0,0,0,0,0,nan,nan,nan
22,0,24,12,0,12,1976,0,10,24,12,0,0,0,0,0,0,nan,nan,nan
