depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,8,0.850779,0.851336,0.851336,0.274204,0.274204,0.274204
1,2,16,0.849791,0.851055,0.851254,0.0680785,0.0714571,0.0722173
2,4,32,0.64087,0.850132,0.850483,0.0169806,0.0178049,0.0179002
3,8,64,0.426008,0.84856,0.850483,0.00407919,0.00464075,0.00522947
4,16,128,0.417008,0.444194,0.464093,0.000922282,0.00112686,0.00137029
5,32,256,0.404162,0.435385,0.461405,0.0002022,0.000294667,0.000336786
6,64,512,0.294501,0.430201,0.457001,3.7821e-05,6.56157e-05,8.35593e-05
7,128,1024,0.200596,0.388772,0.441915,5.41104e-06,1.24401e-05,2.18261e-05
8,256,2048,0.159173,0.212168,0.263144,2.9995e-07,1.41046e-06,2.99204e-06
9,512,4096,0.0820565,0.169869,0.229466,1.08367e-09,2.10224e-08,7.68761e-08
10,977,7816,0,0,0,0,0,0
