depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,10,0.923345,0.92379,0.92379,0.450064,0.450064,0.450064
1,2,20,0.922847,0.923355,0.923546,0.112122,0.116773,0.117819
2,4,40,0.91886,0.922322,0.922762,0.0271922,0.0297822,0.0307462
3,8,80,0.472036,0.920702,0.922384,0.00630875,0.00742055,0.00782143
4,16,160,0.460889,0.910196,0.920003,0.00158699,0.00189759,0.00204945
5,32,320,0.446684,0.478896,0.517269,0.000312836,0.00043842,0.000544182
6,64,640,0.425507,0.468637,0.505327,5.47129e-05,9.85019e-05,0.000116934
7,128,1280,0.349436,0.448501,0.498442,6.18827e-06,1.59855e-05,2.78488e-05
8,256,2560,0.212343,0.395991,0.478581,2.94142e-07,1.07597e-06,3.03576e-06
9,512,5120,0.11983,0.248153,0.400626,2.94694e-10,1.2111e-08,8.12188e-08
10,977,9770,0,0,0,0,0,0
