left_idx,w,V_count,P_count,C_count,H_count,S_prune,S_contain,D_count_max,V_search,P_search,B_mid,B_leaf,B_subtree,m,M_point,M_subtree,rho,sigma,avg_subtree_mass
0,7,484,239,3,242,1516,0,10,481,239,4,0,3,7,4,3,1,0.428571,1
1,17,223,103,9,111,1777,0,10,214,103,8,0,9,17,8,9,1,0.529412,1
2,13,230,108,7,115,1770,0,10,223,108,6,0,7,13,6,7,1,0.538462,1
3,16,233,110,7,116,1767,0,10,226,110,9,0,7,16,9,7,1,0.4375,1
4,10,291,140,6,145,1709,0,10,285,140,4,0,6,10,4,6,1,0.6,1
5,20,160,72,8,80,1838,2,10,152,72,10,0,8,18,10,10,1.11111,0.5,1.25
6,13,181,81,10,90,1819,0,10,171,81,3,0,10,13,3,10,1,0.769231,1
7,19,393,188,9,196,1607,0,10,384,188,10,0,9,19,10,9,1,0.473684,1
8,38,730,354,11,365,1269,1,10,719,354,26,0,11,37,26,12,1.02703,0.315789,1.09091
9,24,388,184,10,194,1612,0,10,378,184,14,0,10,24,14,10,1,0.416667,1
10,13,424,206,5,213,1576,0,10,419,206,8,0,5,13,8,5,1,0.384615,1
11,11,366,178,4,184,1634,0,10,362,178,7,0,4,11,7,4,1,0.363636,1
12,14,524,255,6,263,1476,0,10,518,255,8,0,6,14,8,6,1,0.428571,1
13,13,463,228,4,231,1537,0,10,459,228,9,0,4,13,9,4,1,0.307692,1
14,9,227,112,1,114,1773,0,10,226,112,8,0,1,9,8,1,1,0.111111,1
15,8,235,110,6,119,1763,2,10,229,110,0,0,6,6,0,8,1.33333,1,1.33333
16,6,255,123,5,127,1745,0,10,250,123,1,0,5,6,1,5,1,0.833333,1
17,13,438,212,5,221,1560,2,10,433,212,6,0,5,11,6,7,1.18182,0.538462,1.4
18,20,400,192,8,200,1596,4,10,392,192,8,0,8,16,8,12,1.25,0.6,1.5
19,27,662,318,13,331,1338,0,10,649,318,14,0,13,27,14,13,1,0.481481,1
20,26,460,214,16,230,1540,0,10,444,214,10,0,16,26,10,16,1,0.615385,1
21,25,441,211,10,220,1557,2,10,431,211,13,0,10,23,13,12,1.08696,0.48,1.2
22,10,124,59,3,62,1876,0,10,121,59,7,0,3,10,7,3,1,0.3,1
23,22,329,154,10,165,1671,0,10,319,154,12,0,10,22,12,10,1,0.454545,1
24,38,448,209,14,225,1551,1,10,434,209,23,0,14,37,23,15,1.02703,0.394737,1.07143
25,5,272,132,4,136,1728,0,10,268,132,1,0,4,5,1,4,1,0.8,1
26,11,192,89,7,96,1808,0,10,185,89,4,0,7,11,4,7,1,0.636364,1
27,2,224,111,1,112,1776,0,10,223,111,1,0,1,2,1,1,1,0.5,1
28,15,402,190,8,204,1598,0,10,394,190,7,0,8,15,7,8,1,0.533333,1
29,21,437,205,12,220,1561,2,10,425,205,7,0,12,19,7,14,1.10526,0.666667,1.16667
