left_idx,w,V_count,P_count,C_count,H_count,S_prune,S_contain,D_count_max,V_search,P_search,B_mid,B_leaf,B_subtree,m,M_point,M_subtree,rho,sigma,avg_subtree_mass
0,0,29,15,0,14,49971,0,14,29,15,0,0,0,0,0,0,nan,nan,nan
1,0,27,14,0,13,49973,0,12,27,14,0,0,0,0,0,0,nan,nan,nan
2,0,27,14,0,13,49973,0,12,27,14,0,0,0,0,0,0,nan,nan,nan
3,0,29,15,0,14,49971,0,14,29,15,0,0,0,0,0,0,nan,nan,nan
4,0,31,16,0,15,49969,0,15,31,16,0,0,0,0,0,0,nan,nan,nan
5,1,25,13,0,12,49975,0,12,25,13,1,0,0,1,1,0,1,0,nan
6,0,27,14,0,13,49973,0,13,27,14,0,0,0,0,0,0,nan,nan,nan
7,0,27,14,0,13,49973,0,13,27,14,0,0,0,0,0,0,nan,nan,nan
8,0,30,15,0,15,49970,0,15,30,15,0,0,0,0,0,0,nan,nan,nan
9,1,30,14,1,15,49970,0,15,29,14,0,0,1,1,0,1,1,1,1
10,0,27,14,0,13,49973,0,13,27,14,0,0,0,0,0,0,nan,nan,nan
11,0,30,15,0,15,49970,0,15,30,15,0,0,0,0,0,0,nan,nan,nan
12,0,23,12,0,11,49977,0,11,23,12,0,0,0,0,0,0,nan,nan,nan
13,0,30,15,0,15,49970,0,15,30,15,0,0,0,0,0,0,nan,nan,nan
14,0,29,15,0,14,49971,0,14,29,15,0,0,0,0,0,0,nan,nan,nan
15,1,30,14,1,15,49970,0,15,29,14,0,0,1,1,0,1,1,1,1
16,0,29,15,0,14,49971,0,14,29,15,0,0,0,0,0,0,nan,nan,nan
17,0,29,15,0,14,49971,0,14,29,15,0,0,0,0,0,0,nan,nan,nan
18,0,29,15,0,14,49971,0,14,29,15,0,0,0,0,0,0,nan,nan,nan
19,0,29,15,0,14,49971,0,14,29,15,0,0,0,0,0,0,nan,nan,nan
20,1,31,16,0,15,49969,0,15,31,16,1,0,0,1,1,0,1,0,nan
21,0,30,15,0,15,49970,0,15,30,15,0,0,0,0,0,0,nan,nan,nan
22,0,29,15,0,14,49971,0,14,29,15,0,0,0,0,0,0,nan,nan,nan
23,0,27,14,0,13,49973,0,13,27,14,0,0,0,0,0,0,nan,nan,nan
24,0,27,14,0,13,49973,0,13,27,14,0,0,0,0,0,0,nan,nan,nan
25,0,38,19,0,19,49962,0,15,38,19,0,0,0,0,0,0,nan,nan,nan
26,0,32,16,0,16,49968,0,15,32,16,0,0,0,0,0,0,nan,nan,nan
27,2,32,15,1,16,49967,1,15,31,15,0,0,1,1,0,2,2,1,2
28,0,27,14,0,13,49973,0,13,27,14,0,0,0,0,0,0,nan,nan,nan
29,1,31,16,0,15,49969,0,14,31,16,1,0,0,1,1,0,1,0,nan
30,0,29,15,0,14,49971,0,14,29,15,0,0,0,0,0,0,nan,nan,nan
31,0,29,15,0,14,49971,0,14,29,15,0,0,0,0,0,0,nan,nan,nan
32,1,40,20,0,20,49960,0,15,40,20,1,0,0,1,1,0,1,0,nan
33,0,27,14,0,13,49973,0,13,27,14,0,0,0,0,0,0,nan,nan,nan
34,0,29,15,0,14,49971,0,14,29,15,0,0,0,0,0,0,nan,nan,nan
35,0,33,17,0,16,49967,0,13,33,17,0,0,0,0,0,0,nan,nan,nan
36,0,27,14,0,13,49973,0,13,27,14,0,0,0,0,0,0,nan,nan,nan
37,0,29,15,0,14,49971,0,14,29,15,0,0,0,0,0,0,nan,nan,nan
38,1,40,20,0,20,49960,0,15,40,20,1,0,0,1,1,0,1,0,nan
39,0,29,15,0,14,49971,0,14,29,15,0,0,0,0,0,0,nan,nan,nan
40,0,30,15,0,15,49970,0,15,30,15,0,0,0,0,0,0,nan,nan,nan
41,0,29,15,0,14,49971,0,14,29,15,0,0,0,0,0,0,nan,nan,nan
42,1,38,19,0,19,49962,0,15,38,19,1,0,0,1,1,0,1,0,nan
