left_idx,w,V_count,P_count,C_count,H_count,S_prune,S_contain,D_count_max,V_search,P_search,B_mid,B_leaf,B_subtree,m,M_point,M_subtree,rho,sigma,avg_subtree_mass
0,0,31,16,0,15,49969,0,14,31,16,0,0,0,0,0,0,nan,nan,nan
1,3,53,24,1,28,49947,0,15,52,24,2,0,1,3,2,1,1,0.333333,1
2,1,32,16,0,16,49968,0,15,32,16,1,0,0,1,1,0,1,0,nan
3,3,36,17,1,18,49963,1,15,35,17,1,0,1,2,1,2,1.5,0.666667,2
4,2,38,18,1,19,49962,0,15,37,18,1,0,1,2,1,1,1,0.5,1
5,0,27,14,0,13,49973,0,13,27,14,0,0,0,0,0,0,nan,nan,nan
6,4,34,16,1,17,49965,1,15,33,16,2,0,1,3,2,2,1.33333,0.5,2
7,1,49,24,1,24,49951,0,15,48,24,0,0,1,1,0,1,1,1,1
8,4,31,14,2,15,49968,1,15,29,14,1,0,2,3,1,3,1.33333,0.75,1.5
9,1,46,22,0,24,49954,0,15,46,22,1,0,0,1,1,0,1,0,nan
10,1,40,18,1,21,49960,0,15,39,18,0,0,1,1,0,1,1,1,1
11,0,32,16,0,16,49968,0,15,32,16,0,0,0,0,0,0,nan,nan,nan
12,1,37,19,0,18,49963,0,14,37,19,1,0,0,1,1,0,1,0,nan
13,1,36,18,0,18,49964,0,15,36,18,1,0,0,1,1,0,1,0,nan
14,2,33,16,0,17,49967,0,15,33,16,2,0,0,2,2,0,1,0,nan
15,1,30,14,1,15,49970,0,15,29,14,0,0,1,1,0,1,1,1,1
16,2,32,16,0,16,49968,0,15,32,16,2,0,0,2,2,0,1,0,nan
17,4,30,13,2,15,49969,1,15,28,13,1,0,2,3,1,3,1.33333,0.75,1.5
18,0,29,15,0,14,49971,0,14,29,15,0,0,0,0,0,0,nan,nan,nan
19,2,36,18,0,18,49964,0,15,36,18,2,0,0,2,2,0,1,0,nan
20,0,47,24,0,23,49953,0,14,47,24,0,0,0,0,0,0,nan,nan,nan
21,0,31,16,0,15,49969,0,15,31,16,0,0,0,0,0,0,nan,nan,nan
22,0,27,14,0,13,49973,0,13,27,14,0,0,0,0,0,0,nan,nan,nan
23,1,32,16,0,16,49968,0,15,32,16,1,0,0,1,1,0,1,0,nan
24,1,31,16,0,15,49969,0,15,31,16,1,0,0,1,1,0,1,0,nan
25,3,41,18,2,21,49959,0,15,39,18,1,0,2,3,1,2,1,0.666667,1
26,4,42,20,1,21,49956,2,15,41,20,1,0,1,2,1,3,2,0.75,3
27,1,32,16,0,16,49968,0,15,32,16,1,0,0,1,1,0,1,0,nan
28,1,34,16,1,17,49966,0,15,33,16,0,0,1,1,0,1,1,1,1
29,1,37,18,0,19,49963,0,15,37,18,1,0,0,1,1,0,1,0,nan
30,0,30,15,0,15,49970,0,15,30,15,0,0,0,0,0,0,nan,nan,nan
31,3,44,20,1,23,49956,0,15,43,20,2,0,1,3,2,1,1,0.333333,1
32,0,35,18,0,17,49965,0,14,35,18,0,0,0,0,0,0,nan,nan,nan
33,5,42,17,3,22,49957,1,15,39,17,1,0,3,4,1,4,1.25,0.8,1.33333
34,1,30,14,1,15,49970,0,15,29,14,0,0,1,1,0,1,1,1,1
35,2,33,16,1,16,49966,1,14,32,16,0,0,1,1,0,2,2,1,2
36,2,43,21,1,21,49957,0,15,42,21,1,0,1,2,1,1,1,0.5,1
37,2,38,17,1,20,49962,0,15,37,17,1,0,1,2,1,1,1,0.5,1
38,7,40,19,1,20,49959,1,15,39,19,5,0,1,6,5,2,1.16667,0.285714,2
39,2,30,14,1,15,49970,0,15,29,14,1,0,1,2,1,1,1,0.5,1
40,4,42,17,3,22,49958,0,15,39,17,1,0,3,4,1,3,1,0.75,1
41,1,30,15,0,15,49970,0,15,30,15,1,0,0,1,1,0,1,0,nan
42,4,37,17,1,19,49962,1,15,36,17,2,0,1,3,2,2,1.33333,0.5,2
43,3,33,16,0,17,49967,0,15,33,16,3,0,0,3,3,0,1,0,nan
44,0,41,21,0,20,49959,0,14,41,21,0,0,0,0,0,0,nan,nan,nan
45,0,32,16,0,16,49968,0,15,32,16,0,0,0,0,0,0,nan,nan,nan
46,6,39,17,2,20,49960,1,15,37,17,3,0,2,5,3,3,1.2,0.5,1.5
47,2,30,14,1,15,49970,0,15,29,14,1,0,1,2,1,1,1,0.5,1
48,0,32,16,0,16,49968,0,15,32,16,0,0,0,0,0,0,nan,nan,nan
49,0,29,15,0,14,49971,0,14,29,15,0,0,0,0,0,0,nan,nan,nan
50,0,35,18,0,17,49965,0,14,35,18,0,0,0,0,0,0,nan,nan,nan
51,1,29,15,0,14,49971,0,14,29,15,1,0,0,1,1,0,1,0,nan
52,1,30,14,1,15,49970,0,15,29,14,0,0,1,1,0,1,1,1,1
53,0,49,25,0,24,49951,0,14,49,25,0,0,0,0,0,0,nan,nan,nan
54,0,27,14,0,13,49973,0,13,27,14,0,0,0,0,0,0,nan,nan,nan
55,2,42,20,1,21,49958,0,15,41,20,1,0,1,2,1,1,1,0.5,1
56,4,44,21,1,22,49955,1,15,43,21,2,0,1,3,2,2,1.33333,0.5,2
57,2,37,17,1,19,49963,0,15,36,17,1,0,1,2,1,1,1,0.5,1
58,2,30,14,1,15,49970,0,15,29,14,1,0,1,2,1,1,1,0.5,1
59,2,42,19,1,22,49958,0,15,41,19,1,0,1,2,1,1,1,0.5,1
60,2,60,29,1,30,49940,0,15,59,29,1,0,1,2,1,1,1,0.5,1
61,1,29,15,0,14,49971,0,14,29,15,1,0,0,1,1,0,1,0,nan
62,1,35,16,1,18,49965,0,15,34,16,0,0,1,1,0,1,1,1,1
63,3,40,18,2,20,49959,1,15,38,18,0,0,2,2,0,3,1.5,1,1.5
64,3,39,18,1,20,49961,0,15,38,18,2,0,1,3,2,1,1,0.333333,1
65,7,38,18,1,19,49961,1,15,37,18,5,0,1,6,5,2,1.16667,0.285714,2
66,1,32,16,0,16,49968,0,15,32,16,1,0,0,1,1,0,1,0,nan
67,1,30,14,1,15,49970,0,15,29,14,0,0,1,1,0,1,1,1,1
68,1,43,22,0,21,49957,0,14,43,22,1,0,0,1,1,0,1,0,nan
69,1,36,18,0,18,49964,0,15,36,18,1,0,0,1,1,0,1,0,nan
70,2,52,26,0,26,49948,0,15,52,26,2,0,0,2,2,0,1,0,nan
71,3,29,14,1,14,49970,1,14,28,14,1,0,1,2,1,2,1.5,0.666667,2
72,0,30,15,0,15,49970,0,15,30,15,0,0,0,0,0,0,nan,nan,nan
73,4,33,15,2,16,49965,2,14,31,15,0,0,2,2,0,4,2,1,2
74,2,29,14,1,14,49970,1,14,28,14,0,0,1,1,0,2,2,1,2
75,1,37,19,0,18,49963,0,14,37,19,1,0,0,1,1,0,1,0,nan
76,2,35,17,1,17,49964,1,14,34,17,0,0,1,1,0,2,2,1,2
77,1,32,15,1,16,49968,0,15,31,15,0,0,1,1,0,1,1,1,1
78,1,44,21,1,22,49956,0,15,43,21,0,0,1,1,0,1,1,1,1
79,3,41,20,1,20,49959,0,15,40,20,2,0,1,3,2,1,1,0.333333,1
80,2,35,16,1,18,49965,0,15,34,16,1,0,1,2,1,1,1,0.5,1
81,1,44,21,1,22,49956,0,15,43,21,0,0,1,1,0,1,1,1,1
82,1,29,15,0,14,49971,0,14,29,15,1,0,0,1,1,0,1,0,nan
83,1,40,19,1,20,49960,0,15,39,19,0,0,1,1,0,1,1,1,1
84,3,39,19,0,20,49961,0,15,39,19,3,0,0,3,3,0,1,0,nan
85,2,29,15,0,14,49971,0,14,29,15,2,0,0,2,2,0,1,0,nan
86,2,29,14,1,14,49970,1,14,28,14,0,0,1,1,0,2,2,1,2
87,2,35,17,0,18,49965,0,15,35,17,2,0,0,2,2,0,1,0,nan
88,1,32,15,1,16,49968,0,15,31,15,0,0,1,1,0,1,1,1,1
89,3,36,17,1,18,49963,1,15,35,17,1,0,1,2,1,2,1.5,0.666667,2
90,2,32,16,0,16,49968,0,15,32,16,2,0,0,2,2,0,1,0,nan
91,2,39,18,1,20,49961,0,15,38,18,1,0,1,2,1,1,1,0.5,1
92,2,30,14,1,15,49970,0,15,29,14,1,0,1,2,1,1,1,0.5,1
93,1,37,18,0,19,49963,0,15,37,18,1,0,0,1,1,0,1,0,nan
94,2,45,21,1,23,49955,0,15,44,21,1,0,1,2,1,1,1,0.5,1
95,1,36,18,0,18,49964,0,15,36,18,1,0,0,1,1,0,1,0,nan
96,1,31,16,0,15,49969,0,14,31,16,1,0,0,1,1,0,1,0,nan
97,2,30,15,0,15,49970,0,15,30,15,2,0,0,2,2,0,1,0,nan
98,3,36,17,1,18,49963,1,15,35,17,1,0,1,2,1,2,1.5,0.666667,2
99,1,30,15,0,15,49970,0,15,30,15,1,0,0,1,1,0,1,0,nan
100,0,29,15,0,14,49971,0,14,29,15,0,0,0,0,0,0,nan,nan,nan
101,3,33,15,1,17,49967,0,15,32,15,2,0,1,3,2,1,1,0.333333,1
102,2,31,15,0,16,49969,0,15,31,15,2,0,0,2,2,0,1,0,nan
103,1,30,15,0,15,49970,0,15,30,15,1,0,0,1,1,0,1,0,nan
104,1,32,16,0,16,49968,0,15,32,16,1,0,0,1,1,0,1,0,nan
105,1,30,14,1,15,49970,0,15,29,14,0,0,1,1,0,1,1,1,1
106,1,30,14,1,15,49970,0,15,29,14,0,0,1,1,0,1,1,1,1
107,4,38,17,2,19,49961,1,15,36,17,1,0,2,3,1,3,1.33333,0.75,1.5
108,1,55,26,1,28,49945,0,15,54,26,0,0,1,1,0,1,1,1,1
109,3,30,14,1,15,49969,1,15,29,14,1,0,1,2,1,2,1.5,0.666667,2
110,2,35,15,2,18,49965,0,15,33,15,0,0,2,2,0,2,1,1,1
111,2,32,15,1,16,49968,0,15,31,15,1,0,1,2,1,1,1,0.5,1
112,2,41,19,1,21,49959,0,15,40,19,1,0,1,2,1,1,1,0.5,1
113,2,46,22,1,23,49954,0,15,45,22,1,0,1,2,1,1,1,0.5,1
114,1,46,23,0,23,49954,0,15,46,23,1,0,0,1,1,0,1,0,nan
