group_idx,group_size,K_point,K_subtree
0,21,21,0
1,27,0,27
2,22,22,0
3,46,46,0
4,19,19,0
5,15,0,15
6,17,17,0
7,18,18,0
8,22,0,22
9,21,21,0
10,23,0,23
11,17,17,0
12,20,0,20
13,37,15,22
14,16,0,16
15,24,24,0
16,27,27,0
17,24,24,0
18,16,0,16
19,38,38,0
20,20,20,0
21,22,22,0
22,23,23,0
23,23,0,23
24,22,22,0
25,17,0,17
26,21,21,0
27,20,20,0
28,19,19,0
29,18,0,18
30,21,21,0
31,21,0,21
32,17,17,0
33,29,0,29
34,21,0,21
35,28,28,0
36,21,0,21
37,23,23,0
38,19,0,19
39,28,28,0
40,24,0,24
41,21,0,21
42,24,24,0
43,35,35,0
44,18,18,0
45,22,22,0
46,30,16,14
47,18,18,0
48,21,21,0
49,13,13,0
50,17,17,0
51,13,13,0
52,13,13,0
53,14,0,14
54,19,0,19
55,15,15,0
56,16,0,16
57,18,0,18
58,23,23,0
59,21,0,21
60,19,19,0
61,40,15,25
62,13,13,0
63,16,16,0
64,20,20,0
65,23,23,0
66,26,0,26
67,22,22,0
68,15,15,0
69,20,0,20
70,29,29,0
71,21,21,0
72,16,16,0
73,16,16,0
74,18,18,0
75,16,16,0
76,11,0,11
77,28,0,28
78,18,0,18
79,20,20,0
80,41,18,23
81,21,21,0
82,22,0,22
83,25,25,0
84,20,20,0
85,25,0,25
86,20,0,20
87,48,48,0
88,26,26,0
89,23,23,0
90,20,20,0
91,23,23,0
92,22,22,0
93,31,31,0
94,21,21,0
95,28,28,0
96,22,22,0
97,19,19,0
98,29,0,29
99,20,0,20
100,18,18,0
101,19,19,0
102,30,30,0
103,45,18,27
104,17,0,17
105,25,25,0
106,13,13,0
107,24,24,0
108,20,20,0
109,19,0,19
110,22,0,22
111,23,0,23
112,25,25,0
113,25,25,0
114,16,0,16
115,27,0,27
116,29,29,0
117,14,14,0
118,24,24,0
119,29,0,29
120,48,0,48
121,23,23,0
122,27,0,27
123,22,22,0
124,19,0,19
125,25,25,0
126,48,48,0
127,21,0,21
128,27,27,0
129,25,0,25
130,25,0,25
131,18,18,0
132,19,19,0
133,16,16,0
134,10,10,0
135,19,0,19
136,21,21,0
137,19,0,19
138,21,21,0
139,23,0,23
140,15,15,0
141,17,17,0
142,28,0,28
143,22,22,0
144,14,14,0
145,23,23,0
146,27,27,0
147,17,17,0
148,20,20,0
149,25,25,0
150,18,18,0
151,19,19,0
152,10,10,0
153,14,14,0
154,19,0,19
155,29,29,0
156,18,18,0
157,18,18,0
158,23,0,23
159,23,23,0
160,27,0,27
161,27,0,27
162,20,0,20
163,49,0,49
164,23,23,0
165,18,18,0
166,19,19,0
167,15,15,0
168,25,25,0
169,17,0,17
170,19,19,0
171,15,15,0
172,22,0,22
173,28,28,0
174,20,20,0
175,23,0,23
176,17,0,17
177,18,18,0
178,21,0,21
179,23,0,23
180,32,32,0
181,22,22,0
182,22,22,0
183,16,0,16
184,23,23,0
185,20,20,0
186,13,13,0
187,18,18,0
188,22,22,0
189,18,18,0
190,17,17,0
191,23,23,0
192,18,18,0
193,19,0,19
194,19,19,0
195,18,18,0
196,25,0,25
197,19,19,0
198,19,19,0
199,28,28,0
200,23,23,0
201,19,19,0
202,25,25,0
203,15,15,0
204,19,19,0
205,20,20,0
206,13,0,13
207,28,28,0
208,20,0,20
209,46,0,46
210,15,15,0
211,51,51,0
212,20,20,0
213,13,0,13
214,23,0,23
215,17,17,0
216,42,24,18
217,22,0,22
218,21,21,0
219,16,16,0
220,22,22,0
221,28,0,28
222,16,0,16
223,20,20,0
224,25,25,0
225,19,0,19
226,37,37,0
227,26,0,26
228,18,18,0
229,25,25,0
230,13,13,0
231,17,17,0
232,12,0,12
233,11,0,11
234,25,0,25
235,23,0,23
236,22,22,0
237,23,23,0
238,23,0,23
239,16,16,0
240,20,20,0
241,24,24,0
242,42,42,0
243,20,20,0
244,22,22,0
245,19,19,0
246,21,0,21
247,22,0,22
248,21,21,0
249,18,18,0
250,19,19,0
251,17,0,17
252,28,28,0
253,20,20,0
254,25,25,0
255,26,26,0
256,26,0,26
257,15,15,0
258,22,0,22
259,14,14,0
260,16,0,16
261,21,21,0
262,24,24,0
263,19,19,0
264,17,0,17
265,22,22,0
266,24,24,0
267,20,20,0
268,23,23,0
269,22,22,0
270,16,16,0
271,26,0,26
272,20,20,0
273,22,22,0
274,14,14,0
275,18,18,0
276,17,17,0
277,24,0,24
278,20,0,20
279,21,21,0
280,14,14,0
281,29,0,29
282,23,23,0
283,21,0,21
284,16,0,16
285,14,0,14
286,13,13,0
287,13,13,0
288,23,23,0
289,24,24,0
290,24,24,0
291,23,23,0
292,19,19,0
293,22,0,22
294,21,0,21
295,18,18,0
296,15,0,15
297,15,0,15
298,11,0,11
299,20,0,20
300,31,0,31
301,18,0,18
302,11,11,0
303,28,0,28
304,26,0,26
305,13,0,13
306,21,21,0
307,19,0,19
308,18,0,18
309,22,22,0
310,17,17,0
311,20,0,20
312,22,22,0
313,16,0,16
314,25,0,25
315,18,0,18
316,50,50,0
317,26,26,0
318,16,16,0
319,23,23,0
320,23,0,23
321,18,18,0
322,22,0,22
323,13,13,0
324,46,0,46
325,17,0,17
326,23,23,0
327,26,26,0
328,19,0,19
329,20,20,0
330,22,22,0
331,36,36,0
332,26,26,0
333,21,21,0
334,47,0,47
335,20,0,20
336,24,24,0
337,15,15,0
338,25,0,25
339,21,21,0
340,17,0,17
341,22,22,0
342,21,21,0
343,21,0,21
344,24,24,0
345,22,22,0
346,25,0,25
347,16,16,0
348,20,20,0
349,20,20,0
350,22,22,0
351,17,17,0
352,17,17,0
353,20,20,0
354,24,24,0
355,19,19,0
356,23,0,23
357,20,20,0
358,25,25,0
359,16,16,0
360,26,0,26
361,23,0,23
362,20,0,20
363,25,25,0
364,35,35,0
365,23,0,23
366,26,0,26
367,23,0,23
368,21,0,21
369,22,22,0
370,17,17,0
371,21,0,21
372,26,26,0
373,30,30,0
374,21,21,0
375,18,18,0
376,16,0,16
377,17,17,0
378,16,0,16
379,27,27,0
380,24,24,0
381,22,22,0
382,23,23,0
383,15,15,0
384,14,0,14
385,18,0,18
386,21,21,0
387,24,0,24
388,19,19,0
389,18,0,18
390,10,10,0
391,22,0,22
392,23,0,23
393,16,16,0
394,41,41,0
395,11,11,0
396,23,0,23
397,22,22,0
398,20,20,0
399,19,19,0
400,36,36,0
401,20,20,0
402,20,0,20
403,15,0,15
404,18,0,18
405,38,38,0
406,22,0,22
407,18,0,18
408,37,37,0
409,17,17,0
410,24,0,24
411,10,0,10
412,19,19,0
413,14,0,14
414,47,0,47
415,18,18,0
416,19,0,19
417,28,28,0
418,21,21,0
419,16,0,16
420,21,0,21
421,15,15,0
422,21,21,0
423,25,25,0
424,21,21,0
425,16,16,0
426,54,54,0
427,15,0,15
428,24,24,0
429,53,53,0
430,15,15,0
431,14,14,0
432,23,23,0
433,38,38,0
434,19,19,0
435,25,25,0
436,19,0,19
437,18,18,0
438,20,0,20
439,11,11,0
440,31,0,31
441,44,44,0
442,16,0,16
443,18,18,0
444,21,21,0
445,17,0,17
446,12,12,0
447,19,19,0
448,19,0,19
449,19,0,19
450,25,0,25
451,24,0,24
452,22,22,0
453,17,17,0
454,45,45,0
455,16,0,16
456,22,22,0
457,20,20,0
458,20,0,20
459,36,14,22
460,22,22,0
461,20,20,0
462,20,20,0
463,23,23,0
464,36,18,18
465,24,0,24
466,24,0,24
467,13,13,0
468,17,17,0
469,23,0,23
470,23,23,0
471,40,40,0
472,21,21,0
473,28,28,0
474,31,0,31
475,28,0,28
476,17,17,0
477,26,26,0
478,20,0,20
479,20,20,0
480,27,0,27
481,26,26,0
482,17,0,17
483,33,0,33
484,16,16,0
485,28,28,0
486,21,21,0
487,22,0,22
488,20,20,0
489,22,22,0
490,20,0,20
491,29,0,29
492,12,0,12
493,17,17,0
494,24,0,24
495,16,0,16
496,21,0,21
497,41,17,24
498,17,17,0
499,25,25,0
500,17,17,0
501,14,14,0
502,23,0,23
503,18,18,0
504,12,12,0
505,36,36,0
506,19,0,19
507,23,23,0
508,20,20,0
509,17,0,17
510,19,0,19
511,15,15,0
512,21,21,0
513,12,12,0
514,25,0,25
515,16,16,0
516,23,23,0
517,18,18,0
518,11,0,11
519,25,0,25
520,22,0,22
521,19,0,19
522,18,0,18
523,23,23,0
524,18,18,0
525,19,19,0
526,21,21,0
527,25,25,0
528,52,52,0
529,29,0,29
530,16,16,0
531,22,22,0
532,17,0,17
533,14,0,14
534,19,19,0
535,13,0,13
536,34,12,22
537,23,23,0
538,13,0,13
539,24,24,0
540,23,0,23
541,20,0,20
542,15,15,0
543,16,0,16
544,21,21,0
545,19,19,0
546,12,0,12
547,17,17,0
548,26,0,26
549,19,0,19
550,23,23,0
551,17,17,0
552,22,0,22
553,14,0,14
554,18,18,0
555,21,21,0
556,16,16,0
557,24,24,0
558,30,30,0
559,27,27,0
560,51,51,0
561,17,17,0
562,28,28,0
563,26,26,0
564,21,21,0
565,50,50,0
566,24,24,0
567,19,19,0
568,17,17,0
569,37,22,15
570,18,0,18
571,16,0,16
572,24,0,24
573,8,0,8
574,19,19,0
575,25,25,0
576,21,21,0
577,25,25,0
578,19,0,19
579,17,0,17
580,23,23,0
581,25,25,0
582,22,22,0
583,20,20,0
584,21,0,21
585,19,19,0
586,35,16,19
587,19,0,19
588,24,0,24
589,18,18,0
590,20,20,0
591,28,28,0
592,19,19,0
593,25,0,25
594,21,21,0
595,31,0,31
596,15,0,15
597,26,26,0
598,21,0,21
599,23,0,23
600,13,13,0
601,23,23,0
602,16,16,0
603,21,21,0
604,23,23,0
605,25,25,0
606,18,18,0
607,26,26,0
608,19,19,0
609,19,0,19
610,27,27,0
611,11,11,0
612,20,20,0
613,20,20,0
614,24,0,24
615,17,0,17
616,14,14,0
617,16,16,0
618,27,27,0
619,21,21,0
620,28,0,28
621,18,0,18
622,25,25,0
623,14,14,0
624,15,15,0
625,27,0,27
626,12,12,0
627,16,0,16
628,18,18,0
629,18,18,0
630,34,34,0
631,24,24,0
632,19,19,0
633,18,18,0
634,36,17,19
635,16,16,0
636,21,0,21
637,18,0,18
638,33,33,0
639,21,0,21
640,17,0,17
641,19,0,19
642,26,0,26
643,27,27,0
644,20,20,0
645,24,0,24
646,22,22,0
647,18,18,0
648,10,0,10
649,20,0,20
650,15,0,15
651,17,17,0
652,20,20,0
653,14,14,0
654,15,15,0
655,23,0,23
656,25,25,0
657,31,0,31
658,16,16,0
659,22,22,0
660,19,0,19
661,27,0,27
662,22,22,0
663,23,0,23
664,32,32,0
665,20,0,20
666,15,15,0
667,35,0,35
668,16,0,16
669,15,0,15
670,15,15,0
671,20,0,20
672,14,14,0
673,22,22,0
674,33,15,18
675,17,0,17
676,23,0,23
677,16,16,0
678,37,21,16
679,16,16,0
680,15,15,0
681,21,21,0
682,16,16,0
683,29,29,0
684,17,17,0
685,21,21,0
686,19,0,19
687,12,0,12
688,20,20,0
689,21,21,0
690,37,37,0
691,18,0,18
692,18,18,0
693,28,28,0
694,19,0,19
695,26,26,0
696,23,0,23
697,15,15,0
698,19,19,0
699,16,16,0
700,41,41,0
701,17,17,0
702,22,0,22
703,22,0,22
704,11,11,0
705,22,22,0
706,23,0,23
707,19,19,0
708,20,20,0
709,20,0,20
710,20,0,20
711,17,17,0
712,48,0,48
713,18,18,0
714,29,14,15
715,16,0,16
716,14,14,0
717,18,18,0
718,17,0,17
719,26,26,0
720,17,0,17
721,13,13,0
722,9,9,0
723,18,18,0
724,21,21,0
725,21,21,0
726,18,18,0
727,22,0,22
728,18,18,0
729,19,0,19
730,20,20,0
731,34,34,0
732,17,17,0
733,40,15,25
734,20,0,20
735,32,32,0
736,21,0,21
737,24,0,24
738,13,13,0
739,20,20,0
740,18,0,18
741,14,14,0
742,41,41,0
743,20,20,0
744,20,0,20
745,21,21,0
746,19,0,19
747,21,21,0
748,12,0,12
749,23,0,23
750,24,0,24
751,26,26,0
752,19,19,0
753,24,24,0
754,41,19,22
755,21,0,21
756,20,20,0
757,19,0,19
758,11,11,0
759,20,0,20
760,25,25,0
761,21,21,0
762,38,0,38
763,13,13,0
764,16,16,0
765,14,0,14
766,19,19,0
767,37,0,37
768,16,0,16
769,19,19,0
770,12,0,12
771,26,26,0
772,19,19,0
773,18,0,18
774,21,21,0
775,20,20,0
776,17,0,17
777,20,0,20
778,13,13,0
779,23,23,0
780,20,20,0
781,28,28,0
782,24,24,0
783,22,0,22
784,13,13,0
785,46,46,0
786,21,21,0
787,22,0,22
788,35,16,19
789,18,0,18
790,12,12,0
791,26,0,26
792,24,24,0
793,20,20,0
794,19,19,0
795,40,21,19
796,22,0,22
797,26,17,9
798,25,0,25
799,17,17,0
800,22,22,0
801,23,0,23
802,22,22,0
803,45,45,0
804,16,16,0
805,13,13,0
806,21,21,0
807,20,20,0
808,25,25,0
809,16,0,16
810,24,24,0
811,28,28,0
812,25,25,0
813,18,18,0
814,43,24,19
815,16,16,0
816,19,19,0
817,26,26,0
818,21,21,0
819,19,19,0
820,21,0,21
821,28,28,0
822,16,16,0
823,28,0,28
824,21,0,21
825,18,0,18
826,19,19,0
827,42,42,0
828,18,0,18
829,21,21,0
830,23,0,23
831,16,0,16
832,26,26,0
833,39,18,21
834,22,22,0
835,22,22,0
836,18,18,0
837,14,14,0
838,20,0,20
839,22,22,0
840,19,0,19
841,26,0,26
842,17,17,0
843,13,0,13
844,23,23,0
845,23,23,0
846,38,38,0
847,16,16,0
848,22,22,0
849,16,16,0
850,17,0,17
851,34,0,34
852,25,25,0
853,20,20,0
