depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,8,0.994754,0.99617,0.99627,0.959877,0.959877,0.959877
1,2,16,0.993585,0.995147,0.996149,0.301982,0.344191,0.353689
2,4,32,0.871877,0.99401,0.995102,0.0756365,0.10751,0.119525
3,8,64,0.509108,0.992953,0.994681,0.0209087,0.0286652,0.0292447
4,16,128,0.505906,0.607292,0.697572,0.00530811,0.00723025,0.00749781
5,32,256,0.496949,0.569958,0.655174,0.00151046,0.00216758,0.00272314
6,64,512,0.476155,0.53262,0.600915,0.000400855,0.000616652,0.000818809
7,128,1024,0.274951,0.503166,0.570833,0.00010191,0.00014597,0.000217345
8,256,2048,0.258784,0.304174,0.360952,2.39315e-05,3.54198e-05,5.41586e-05
9,512,4096,0.246118,0.280433,0.338394,5.7736e-06,9.28569e-06,1.38233e-05
10,1024,8192,0.210655,0.261265,0.305661,1.20256e-06,2.03183e-06,3.35516e-06
11,2048,16384,0.131143,0.237907,0.275888,1.92144e-07,3.6808e-07,6.48775e-07
12,4096,32768,0.109048,0.141214,0.186526,1.9317e-08,5.18808e-08,1.09158e-07
13,8192,65536,0.0761414,0.11864,0.160197,6.45188e-10,3.52197e-09,1.09578e-08
14,16384,131072,0.0269144,0.0753291,0.12433,6.04691e-14,6.81215e-12,1.95624e-10
15,17233,137864,0,0,0,0,0,0
