group_idx,group_size,K_point,K_subtree
0,2,2,0
1,5,1,4
2,8,4,4
3,6,4,2
4,4,4,0
5,5,0,5
6,6,5,1
7,1,1,0
8,5,1,4
9,4,2,2
10,5,4,1
11,9,5,4
12,2,2,0
13,2,2,0
14,5,1,4
15,4,1,3
16,2,2,0
17,2,1,1
18,7,3,4
19,3,0,3
20,6,1,5
21,5,3,2
22,2,2,0
23,4,0,4
24,2,0,2
25,3,3,0
26,2,1,1
27,3,1,2
28,4,3,1
29,7,3,4
30,4,3,1
31,4,2,2
32,3,0,3
33,5,0,5
34,3,1,2
35,4,2,2
36,2,0,2
37,5,3,2
38,3,2,1
39,5,2,3
40,3,1,2
41,4,2,2
42,3,1,2
43,2,2,0
44,2,1,1
45,6,5,1
46,1,1,0
47,1,0,1
48,3,2,1
49,1,0,1
50,5,3,2
51,3,1,2
52,3,2,1
53,1,1,0
54,4,3,1
55,2,1,1
56,5,2,3
57,2,1,1
58,5,2,3
59,5,2,3
60,1,1,0
61,6,3,3
62,2,2,0
63,4,3,1
64,6,1,5
65,8,3,5
66,2,1,1
67,4,1,3
68,2,2,0
69,6,3,3
70,6,2,4
71,3,1,2
72,5,4,1
73,2,1,1
74,6,5,1
75,4,2,2
76,1,1,0
77,5,2,3
78,5,3,2
79,2,0,2
80,6,1,5
81,9,7,2
82,4,2,2
83,3,1,2
84,6,2,4
85,6,1,5
86,1,0,1
87,3,2,1
88,2,0,2
89,3,3,0
90,7,3,4
91,4,1,3
92,3,2,1
93,5,4,1
94,6,3,3
95,6,1,5
96,1,1,0
97,10,7,3
98,2,0,2
99,7,4,3
100,7,4,3
101,4,1,3
102,3,2,1
103,5,1,4
104,3,2,1
105,3,2,1
106,2,1,1
107,1,1,0
108,7,3,4
109,5,4,1
110,4,2,2
111,5,3,2
112,4,3,1
113,5,2,3
114,2,0,2
115,7,5,2
116,2,2,0
117,2,1,1
118,2,1,1
119,6,2,4
120,1,0,1
121,5,1,4
122,1,1,0
123,2,1,1
124,3,2,1
125,1,1,0
126,6,4,2
127,5,4,1
128,3,1,2
129,7,3,4
130,5,3,2
131,5,2,3
132,9,4,5
133,3,2,1
134,2,1,1
135,3,3,0
136,5,3,2
137,4,1,3
138,3,2,1
139,1,1,0
140,9,5,4
141,3,1,2
142,1,1,0
143,7,2,5
144,4,1,3
145,4,2,2
146,3,1,2
147,5,1,4
148,1,0,1
149,7,2,5
150,3,1,2
151,6,6,0
152,6,3,3
153,4,2,2
154,5,2,3
155,3,0,3
156,2,2,0
157,4,1,3
158,1,1,0
159,4,1,3
160,3,3,0
161,4,3,1
162,4,1,3
163,1,1,0
164,2,1,1
165,2,1,1
166,11,8,3
167,2,2,0
168,10,8,2
169,7,5,2
170,8,4,4
171,5,2,3
172,3,2,1
173,3,1,2
174,4,1,3
175,2,1,1
176,7,4,3
177,2,1,1
178,16,6,10
179,3,1,2
180,6,2,4
181,8,4,4
182,5,3,2
183,3,3,0
184,8,2,6
185,3,1,2
186,5,4,1
187,4,3,1
188,1,1,0
189,6,2,4
190,8,5,3
191,2,1,1
192,1,1,0
193,7,1,6
194,6,1,5
195,7,4,3
196,5,1,4
197,8,4,4
198,3,3,0
199,9,2,7
200,2,1,1
201,7,5,2
202,3,2,1
203,4,3,1
204,10,5,5
205,5,1,4
206,7,1,6
207,1,1,0
208,7,2,5
209,8,5,3
210,8,3,5
211,3,2,1
212,5,2,3
213,8,5,3
214,5,3,2
215,6,5,1
216,4,2,2
217,4,3,1
218,14,8,6
219,9,1,8
220,1,0,1
221,8,4,4
222,4,3,1
223,6,2,4
224,3,1,2
225,4,3,1
226,1,0,1
227,4,3,1
228,3,1,2
229,2,1,1
230,2,1,1
231,6,5,1
232,5,1,4
233,2,2,0
234,4,3,1
235,1,0,1
236,9,3,6
237,5,1,4
238,3,2,1
239,7,4,3
240,2,2,0
241,1,1,0
242,4,1,3
243,6,2,4
244,2,1,1
245,3,1,2
246,3,2,1
247,6,4,2
248,10,4,6
249,2,2,0
250,4,3,1
251,2,0,2
252,5,2,3
253,2,0,2
254,2,2,0
255,9,6,3
256,1,1,0
257,5,0,5
258,5,3,2
259,4,0,4
260,4,2,2
261,2,2,0
262,1,0,1
263,8,4,4
264,2,0,2
265,2,1,1
266,7,2,5
267,8,5,3
268,2,0,2
269,4,2,2
270,2,2,0
271,3,1,2
272,4,1,3
273,11,5,6
274,7,2,5
275,3,0,3
276,4,1,3
277,4,1,3
278,3,2,1
279,3,2,1
280,4,4,0
281,7,3,4
282,7,5,2
283,7,1,6
284,3,2,1
285,3,0,3
286,1,0,1
287,4,2,2
288,2,2,0
289,3,2,1
290,4,1,3
291,5,3,2
292,6,2,4
293,4,2,2
294,2,1,1
295,4,2,2
296,14,12,2
297,1,1,0
298,9,4,5
299,8,6,2
300,5,2,3
301,6,5,1
302,1,0,1
303,1,1,0
304,3,1,2
305,13,9,4
306,3,1,2
307,3,2,1
308,3,3,0
309,6,4,2
310,2,0,2
311,5,4,1
312,6,4,2
313,6,6,0
314,2,1,1
315,2,0,2
316,9,7,2
317,4,2,2
318,11,6,5
319,1,1,0
320,4,1,3
321,3,1,2
322,4,2,2
323,8,4,4
324,4,3,1
325,6,3,3
326,4,1,3
327,5,3,2
328,3,1,2
329,5,2,3
330,4,3,1
331,2,0,2
332,3,1,2
333,1,1,0
334,2,1,1
335,7,4,3
336,6,3,3
337,8,6,2
338,5,3,2
339,1,0,1
340,9,4,5
341,5,2,3
342,2,0,2
343,2,1,1
344,5,2,3
345,6,2,4
346,3,1,2
347,9,7,2
348,2,0,2
349,3,2,1
350,4,1,3
351,3,2,1
352,5,2,3
353,7,3,4
354,4,2,2
355,6,0,6
356,3,2,1
357,4,1,3
358,6,3,3
359,1,1,0
360,2,1,1
361,8,4,4
362,1,0,1
363,1,1,0
364,4,2,2
365,3,3,0
366,3,2,1
367,6,3,3
368,1,1,0
369,5,1,4
370,5,3,2
371,1,0,1
372,4,3,1
373,1,0,1
374,2,1,1
375,5,0,5
376,4,3,1
377,8,6,2
378,1,0,1
379,1,1,0
380,4,2,2
381,7,3,4
382,3,2,1
383,4,3,1
384,5,2,3
385,1,0,1
386,1,1,0
387,7,3,4
388,5,3,2
389,14,9,5
390,3,2,1
391,5,3,2
392,1,1,0
393,2,1,1
394,2,0,2
395,1,1,0
396,1,0,1
397,3,1,2
398,5,1,4
399,3,1,2
