depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,8,0.990238,0.99392,0.994788,0.920249,0.920249,0.920249
1,2,16,0.984924,0.991179,0.993262,0.340128,0.406404,0.421316
2,4,32,0.98101,0.986164,0.992391,0.115351,0.170162,0.190272
3,8,64,0.526855,0.982483,0.988926,0.0385116,0.0605559,0.0749938
4,16,128,0.521351,0.922348,0.980061,0.012938,0.0196823,0.0254626
5,32,256,0.515034,0.842606,0.95962,0.00386291,0.00962772,0.0157549
6,64,512,0.46669,0.731743,0.931266,0.00128492,0.00306723,0.00728498
7,128,1024,0.400567,0.548012,0.870771,0.000415174,0.00104796,0.00249298
8,256,2048,0.285106,0.472331,0.629758,0.000113326,0.000290096,0.000687885
9,512,4096,0.272126,0.426116,0.574213,2.80017e-05,8.05696e-05,0.000233476
10,1024,8192,0.242683,0.361854,0.512644,6.2695e-06,1.7329e-05,3.96605e-05
11,2048,16384,0.178058,0.286693,0.452252,1.07696e-06,3.14413e-06,7.57888e-06
12,4096,32768,0.131151,0.216533,0.351396,1.10041e-07,3.46145e-07,1.02363e-06
13,8192,65536,0.09136,0.16256,0.282278,3.84994e-09,2.07336e-08,7.87929e-08
14,16384,131072,0.0346783,0.0974911,0.195792,4.13769e-13,3.37954e-11,7.21838e-10
15,17233,137864,0,0,0,0,0,0
