left_idx,w,V_count,P_count,C_count,H_count,S_prune,S_contain,D_count_max,V_search,P_search,B_mid,B_leaf,B_subtree,m,M_point,M_subtree,rho,sigma,avg_subtree_mass
0,20,64,25,7,32,9933,3,13,57,25,10,0,7,17,10,10,1.17647,0.5,1.42857
1,18,83,33,7,43,9916,1,13,76,33,10,0,7,17,10,8,1.05882,0.444444,1.14286
2,20,134,57,7,70,9865,1,13,127,57,12,0,7,19,12,8,1.05263,0.4,1.14286
3,19,104,45,6,53,9887,9,13,98,45,4,0,6,10,4,15,1.9,0.789474,2.5
4,21,127,53,8,66,9869,4,13,119,53,9,0,8,17,9,12,1.23529,0.571429,1.5
5,28,76,29,8,39,9914,10,13,68,29,10,0,8,18,10,18,1.55556,0.642857,2.25
6,23,105,44,7,54,9886,9,13,98,44,7,0,7,14,7,16,1.64286,0.695652,2.28571
7,12,61,25,4,32,9939,0,13,57,25,8,0,4,12,8,4,1,0.333333,1
8,20,133,57,8,68,9865,2,13,125,57,10,0,8,18,10,10,1.11111,0.5,1.25
9,13,54,23,4,27,9942,4,13,50,23,5,0,4,9,5,8,1.44444,0.615385,2
10,12,67,27,6,34,9932,1,13,61,27,5,0,6,11,5,7,1.09091,0.583333,1.16667
11,25,107,45,7,55,9889,4,13,100,45,14,0,7,21,14,11,1.19048,0.44,1.57143
12,26,124,54,7,63,9872,4,13,117,54,15,0,7,22,15,11,1.18182,0.423077,1.57143
13,18,64,23,8,33,9935,1,13,56,23,9,0,8,17,9,9,1.05882,0.5,1.125
14,23,58,21,8,29,9932,10,13,50,21,5,0,8,13,5,18,1.76923,0.782609,2.25
15,30,82,32,9,41,9906,12,13,73,32,9,0,9,18,9,21,1.66667,0.7,2.33333
16,15,66,27,4,35,9934,0,13,62,27,11,0,4,15,11,4,1,0.266667,1
17,21,78,31,8,39,9915,7,13,70,31,6,0,8,14,6,15,1.5,0.714286,1.875
18,13,43,17,4,22,9953,4,13,39,17,5,0,4,9,5,8,1.44444,0.615385,2
19,29,101,37,11,53,9894,5,13,90,37,13,0,11,24,13,16,1.20833,0.551724,1.45455
