group_idx,group_size,K_point,K_subtree
0,3,2,1
1,4,1,3
2,2,2,0
3,4,1,3
4,3,0,3
5,3,2,1
6,1,1,0
7,3,1,2
8,5,3,2
9,5,2,3
10,3,2,1
11,1,1,0
12,3,2,1
13,3,1,2
14,3,0,3
15,1,0,1
16,4,3,1
17,2,2,0
18,3,2,1
19,2,1,1
20,1,1,0
21,2,2,0
22,1,1,0
23,3,0,3
24,6,6,0
25,1,0,1
26,2,0,2
27,1,0,1
28,3,1,2
29,2,2,0
30,1,1,0
31,2,1,1
32,1,1,0
33,2,0,2
34,1,1,0
35,2,2,0
36,1,0,1
37,1,0,1
38,2,2,0
39,2,0,2
40,2,1,1
41,2,2,0
42,4,2,2
43,5,2,3
44,1,0,1
45,2,2,0
46,4,1,3
47,1,0,1
48,1,0,1
49,3,1,2
50,2,1,1
51,2,2,0
52,3,2,1
53,1,0,1
54,3,3,0
55,2,0,2
56,1,0,1
57,4,1,3
58,3,1,2
59,1,1,0
60,4,2,2
61,2,2,0
62,5,2,3
63,4,2,2
64,3,3,0
65,4,0,4
66,3,0,3
67,2,2,0
68,1,1,0
69,2,2,0
70,3,3,0
71,1,0,1
72,7,4,3
73,2,0,2
74,1,0,1
75,3,1,2
76,3,2,1
77,2,0,2
78,2,0,2
79,2,1,1
80,3,1,2
81,1,0,1
82,2,2,0
83,1,0,1
84,2,0,2
85,2,0,2
86,1,1,0
87,2,2,0
88,2,0,2
89,2,2,0
90,1,0,1
91,2,1,1
92,1,0,1
93,2,2,0
94,4,3,1
95,1,1,0
96,6,5,1
97,4,3,1
98,5,2,3
99,3,2,1
100,4,2,2
101,3,1,2
102,2,1,1
103,2,2,0
104,1,1,0
105,3,2,1
106,4,3,1
107,1,0,1
108,1,1,0
109,2,1,1
110,1,0,1
111,2,0,2
112,2,1,1
113,2,1,1
114,3,3,0
115,1,1,0
116,2,1,1
117,2,1,1
118,1,0,1
119,2,1,1
120,2,1,1
121,1,0,1
122,1,0,1
123,1,0,1
124,1,0,1
125,4,2,2
126,2,1,1
127,4,2,2
128,3,0,3
129,3,3,0
130,7,2,5
131,2,2,0
132,3,1,2
133,3,2,1
134,4,3,1
135,5,3,2
136,2,2,0
137,4,3,1
138,3,3,0
139,3,3,0
140,1,0,1
141,3,0,3
142,1,1,0
143,2,0,2
144,1,0,1
145,1,0,1
146,2,0,2
147,1,0,1
148,1,0,1
149,1,1,0
150,1,0,1
151,2,1,1
152,2,2,0
153,1,1,0
154,1,1,0
155,1,0,1
156,2,1,1
157,4,1,3
158,5,3,2
159,1,0,1
160,1,0,1
161,1,1,0
162,2,1,1
163,1,0,1
164,1,1,0
165,2,1,1
166,3,0,3
167,1,1,0
168,2,1,1
169,2,1,1
170,1,0,1
171,4,1,3
172,5,3,2
173,2,1,1
174,3,2,1
175,2,1,1
176,2,1,1
177,1,1,0
178,2,2,0
179,2,2,0
180,2,1,1
181,2,1,1
182,1,1,0
183,1,0,1
184,4,1,3
185,1,0,1
186,3,1,2
187,2,0,2
188,3,3,0
189,1,0,1
190,4,2,2
191,1,0,1
192,2,1,1
193,2,1,1
194,4,2,2
195,5,2,3
196,2,1,1
197,1,1,0
198,1,1,0
199,3,2,1
200,3,2,1
201,5,2,3
202,5,3,2
203,4,3,1
204,5,4,1
205,1,0,1
206,1,0,1
207,3,1,2
208,2,1,1
209,3,3,0
210,1,0,1
211,2,1,1
212,2,0,2
213,2,1,1
214,2,1,1
215,4,2,2
216,1,1,0
217,2,2,0
218,4,2,2
219,1,1,0
220,2,1,1
221,1,1,0
222,2,0,2
223,3,1,2
224,5,4,1
225,6,4,2
226,3,2,1
227,4,1,3
228,2,1,1
229,4,2,2
230,1,1,0
231,1,1,0
232,1,1,0
233,1,1,0
234,1,1,0
235,5,3,2
236,2,1,1
237,3,1,2
238,4,2,2
239,2,1,1
240,4,0,4
241,1,1,0
242,3,2,1
243,2,2,0
244,5,2,3
245,3,1,2
246,5,1,4
247,2,1,1
248,2,2,0
249,1,0,1
250,1,0,1
251,3,0,3
252,1,0,1
253,2,0,2
254,3,2,1
255,1,0,1
256,1,1,0
257,2,1,1
258,6,3,3
259,5,1,4
260,1,1,0
261,4,4,0
262,3,0,3
263,1,0,1
264,5,3,2
265,2,1,1
266,1,0,1
267,2,2,0
268,3,3,0
269,4,4,0
270,1,0,1
271,3,3,0
272,2,0,2
273,2,1,1
274,3,2,1
275,3,2,1
276,2,1,1
277,7,4,3
278,3,1,2
279,1,1,0
280,2,2,0
281,2,1,1
282,2,2,0
283,2,1,1
284,2,1,1
285,2,0,2
286,6,4,2
287,4,0,4
288,3,3,0
289,3,1,2
290,1,1,0
291,4,1,3
292,5,3,2
293,3,2,1
294,2,1,1
295,3,1,2
296,2,1,1
297,1,0,1
298,4,4,0
299,3,1,2
300,3,1,2
301,3,3,0
302,1,1,0
303,2,2,0
304,5,4,1
305,3,3,0
306,1,1,0
307,5,1,4
308,1,1,0
309,3,2,1
310,1,1,0
311,2,2,0
312,2,1,1
313,4,1,3
314,1,0,1
315,2,2,0
316,3,2,1
317,7,5,2
318,2,1,1
319,4,3,1
320,3,3,0
321,4,1,3
322,2,1,1
323,2,2,0
324,2,1,1
325,4,0,4
326,5,3,2
327,1,0,1
328,2,2,0
329,2,1,1
330,3,2,1
331,2,0,2
332,3,1,2
333,3,2,1
334,1,0,1
335,3,1,2
336,2,1,1
337,2,2,0
338,3,1,2
339,4,2,2
340,3,1,2
341,2,1,1
342,2,2,0
343,3,3,0
344,3,3,0
345,2,1,1
346,3,3,0
347,2,1,1
348,2,0,2
349,3,2,1
350,3,2,1
351,1,1,0
352,5,3,2
353,2,1,1
354,5,1,4
355,3,3,0
356,2,0,2
357,1,0,1
358,2,2,0
359,3,3,0
360,1,0,1
361,2,0,2
362,3,3,0
363,1,0,1
364,1,0,1
365,1,1,0
366,2,1,1
367,1,1,0
368,1,1,0
369,2,1,1
370,4,1,3
371,2,0,2
372,1,0,1
373,3,1,2
374,2,1,1
375,2,1,1
376,2,2,0
377,2,1,1
378,3,1,2
379,3,2,1
380,3,1,2
381,1,1,0
382,5,5,0
383,5,3,2
384,3,2,1
385,9,5,4
386,4,2,2
387,1,1,0
388,1,0,1
389,3,3,0
390,1,1,0
391,1,1,0
392,2,1,1
393,3,1,2
394,2,0,2
395,2,1,1
396,1,1,0
397,4,3,1
398,1,1,0
399,2,2,0
400,1,1,0
401,4,3,1
402,2,1,1
403,1,0,1
404,2,1,1
405,2,2,0
406,1,1,0
407,3,1,2
408,3,0,3
409,1,0,1
410,7,2,5
411,4,1,3
412,1,0,1
413,2,2,0
414,7,4,3
415,3,0,3
416,2,1,1
417,4,0,4
418,1,1,0
419,4,3,1
420,2,0,2
421,1,1,0
422,1,0,1
423,4,1,3
424,2,1,1
425,1,1,0
426,1,1,0
427,3,1,2
428,2,2,0
429,2,1,1
430,1,1,0
431,3,1,2
432,3,2,1
433,2,2,0
434,3,1,2
435,8,2,6
436,2,0,2
437,2,1,1
438,2,0,2
439,3,1,2
440,3,1,2
441,3,3,0
442,2,1,1
443,2,2,0
444,6,0,6
445,2,2,0
446,1,1,0
447,3,2,1
448,2,2,0
449,2,2,0
450,4,2,2
451,2,0,2
452,1,1,0
453,9,4,5
454,2,0,2
455,3,0,3
456,1,1,0
457,6,2,4
458,2,2,0
459,1,1,0
460,3,3,0
461,5,4,1
462,2,0,2
463,1,1,0
464,5,4,1
465,3,2,1
466,2,0,2
467,1,0,1
468,1,0,1
469,4,3,1
470,2,1,1
471,1,0,1
472,5,1,4
473,2,1,1
474,2,0,2
475,1,0,1
476,2,1,1
477,1,0,1
478,2,0,2
479,3,2,1
480,3,1,2
481,1,0,1
482,2,2,0
483,4,2,2
484,1,1,0
485,3,1,2
486,3,1,2
487,1,1,0
488,4,3,1
489,1,1,0
490,2,0,2
491,4,2,2
492,2,1,1
493,2,0,2
494,4,2,2
495,3,2,1
496,4,3,1
497,2,1,1
498,3,1,2
499,2,2,0
500,2,1,1
501,1,1,0
502,3,3,0
503,1,0,1
504,1,1,0
505,1,1,0
506,4,2,2
507,1,0,1
508,2,1,1
509,3,2,1
510,1,1,0
511,2,2,0
512,1,0,1
513,2,1,1
514,6,4,2
515,7,4,3
516,1,0,1
517,1,0,1
518,4,2,2
519,1,0,1
520,1,0,1
521,3,2,1
