depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,10,0.864536,0.864564,0.864564,0.233078,0.233078,0.233078
1,2,20,0.864251,0.864548,0.864564,0.0581703,0.0591465,0.0593662
2,4,40,0.863144,0.864218,0.864564,0.0144791,0.0147969,0.014809
3,8,80,0.436218,0.86383,0.864363,0.00366306,0.00375123,0.00381733
4,16,160,0.432599,0.861437,0.863758,0.00087044,0.000979231,0.000993145
5,32,320,0.429384,0.442532,0.459799,0.000214695,0.000250334,0.000262142
6,64,640,0.423761,0.440686,0.4585,4.93718e-05,6.06557e-05,6.42259e-05
7,128,1280,0.405842,0.436167,0.454719,1.07689e-05,1.51869e-05,1.73273e-05
8,256,2560,0.222244,0.425261,0.449977,2.06295e-06,3.15723e-06,4.09534e-06
9,512,5120,0.201747,0.391622,0.432484,2.7722e-07,5.92338e-07,1.00982e-06
10,1024,10240,0.172497,0.215505,0.259505,1.86628e-08,5.85624e-08,1.28343e-07
11,2048,20480,0.112459,0.184577,0.234344,1.20924e-10,1.58607e-09,7.92411e-09
12,4096,40960,0,0.0907315,0.182771,0,2.24961e-13,1.98405e-11
13,1809,18090,0,0,0,0,0,0
