group_idx,group_size,K_point,K_subtree
0,21,6,15
1,27,9,18
2,18,13,5
3,16,5,11
4,20,10,10
5,18,8,10
6,19,6,13
7,23,11,12
8,29,10,19
9,17,6,11
10,18,3,15
11,15,8,7
12,19,8,11
13,14,9,5
14,12,4,8
15,18,10,8
16,19,11,8
17,12,6,6
18,27,6,21
19,19,6,13
20,16,9,7
21,14,8,6
22,20,13,7
23,31,17,14
24,18,7,11
25,24,6,18
26,33,25,8
27,31,12,19
28,9,5,4
29,18,8,10
30,16,8,8
31,19,9,10
32,14,6,8
33,25,5,20
34,36,14,22
35,17,3,14
36,19,9,10
37,24,7,17
38,16,10,6
39,39,10,29
40,33,17,16
41,22,12,10
42,27,15,12
43,16,7,9
44,16,3,13
45,23,10,13
46,23,8,15
47,19,1,18
48,15,4,11
49,19,12,7
50,27,17,10
51,17,3,14
52,23,13,10
53,10,5,5
54,23,11,12
55,14,4,10
56,11,2,9
57,12,3,9
58,19,8,11
59,24,9,15
60,5,1,4
61,8,3,5
62,24,9,15
63,15,8,7
64,31,14,17
65,34,9,25
66,19,8,11
67,18,15,3
68,15,4,11
69,18,10,8
70,12,5,7
71,30,7,23
72,33,7,26
73,28,17,11
74,25,12,13
75,10,4,6
76,31,9,22
77,29,12,17
78,24,12,12
79,16,9,7
80,9,6,3
81,25,9,16
82,30,13,17
83,9,4,5
84,21,6,15
85,27,4,23
86,27,8,19
87,15,5,10
88,25,6,19
89,17,10,7
90,15,8,7
91,16,5,11
92,23,11,12
93,14,5,9
94,19,8,11
95,17,5,12
96,16,5,11
97,19,9,10
98,45,27,18
99,29,12,17
100,23,9,14
101,21,6,15
102,19,9,10
103,26,8,18
104,28,12,16
105,36,20,16
106,25,16,9
107,12,2,10
108,20,9,11
109,15,4,11
110,29,11,18
111,22,9,13
112,21,7,14
113,28,4,24
114,24,11,13
115,22,14,8
116,18,4,14
117,27,11,16
118,12,7,5
119,14,5,9
120,30,15,15
121,22,7,15
122,29,11,18
123,22,14,8
124,38,14,24
125,17,6,11
126,19,6,13
127,42,15,27
128,19,6,13
129,19,7,12
130,27,12,15
131,14,11,3
132,11,9,2
133,14,4,10
134,26,7,19
135,22,9,13
136,20,7,13
137,12,4,8
138,18,9,9
139,23,6,17
140,21,14,7
141,15,7,8
142,15,4,11
143,14,4,10
144,26,11,15
145,10,5,5
146,13,0,13
147,19,3,16
148,18,6,12
149,20,11,9
150,13,9,4
151,13,8,5
152,14,4,10
153,22,9,13
154,17,8,9
155,22,4,18
156,18,10,8
157,23,6,17
158,19,10,9
159,23,9,14
160,31,10,21
161,29,10,19
162,15,5,10
163,29,9,20
164,19,5,14
165,13,7,6
166,14,2,12
167,22,14,8
168,21,5,16
169,25,8,17
170,16,6,10
171,28,9,19
172,11,5,6
173,21,8,13
174,24,4,20
175,19,6,13
176,33,11,22
177,25,9,16
178,13,1,12
179,15,10,5
180,29,11,18
181,18,15,3
182,19,12,7
183,22,12,10
184,18,3,15
185,29,10,19
186,16,4,12
187,18,4,14
188,11,4,7
189,15,6,9
190,26,10,16
191,17,8,9
192,20,7,13
193,37,17,20
194,20,12,8
195,20,9,11
196,17,8,9
197,20,10,10
198,12,2,10
199,17,6,11
200,29,10,19
201,19,15,4
202,17,7,10
203,24,9,15
204,12,5,7
205,17,7,10
206,18,12,6
207,24,10,14
208,20,7,13
209,17,11,6
210,23,11,12
211,13,8,5
212,16,10,6
213,20,4,16
214,37,10,27
215,17,8,9
216,14,9,5
217,13,7,6
218,20,7,13
219,21,9,12
220,16,7,9
221,19,12,7
222,17,5,12
223,17,7,10
224,16,10,6
225,9,3,6
226,14,4,10
227,19,11,8
228,23,11,12
229,15,6,9
230,39,19,20
231,13,7,6
232,15,3,12
233,14,3,11
234,23,9,14
235,20,1,19
236,13,11,2
237,30,10,20
238,9,2,7
239,30,16,14
240,17,7,10
241,11,5,6
242,17,1,16
243,18,1,17
244,22,10,12
245,15,7,8
246,29,14,15
247,23,9,14
248,8,3,5
249,13,5,8
250,17,9,8
251,25,14,11
252,25,6,19
253,22,13,9
254,24,15,9
255,21,8,13
256,17,3,14
257,12,5,7
258,23,12,11
259,29,11,18
260,13,6,7
261,16,7,9
262,9,1,8
263,21,6,15
264,10,8,2
265,23,6,17
266,15,5,10
267,29,13,16
268,25,15,10
269,23,12,11
270,16,7,9
271,23,3,20
272,15,5,10
273,11,3,8
274,21,10,11
275,13,8,5
276,27,14,13
277,20,11,9
278,18,5,13
279,25,8,17
280,14,7,7
281,33,18,15
282,14,7,7
283,20,2,18
284,24,10,14
285,20,6,14
286,19,12,7
287,30,6,24
288,6,4,2
289,16,5,11
290,16,7,9
291,14,7,7
292,13,7,6
293,27,14,13
294,17,7,10
295,28,10,18
296,12,2,10
297,24,13,11
298,15,5,10
299,19,6,13
300,36,13,23
301,18,5,13
302,21,7,14
303,13,7,6
304,18,5,13
305,25,3,22
306,27,11,16
307,25,9,16
308,23,5,18
309,30,11,19
310,24,11,13
311,16,7,9
312,25,11,14
313,19,7,12
314,25,6,19
315,23,9,14
316,10,4,6
317,21,10,11
318,20,6,14
319,19,5,14
320,24,11,13
321,18,8,10
322,25,8,17
323,20,12,8
324,15,2,13
325,21,11,10
326,24,4,20
327,21,10,11
328,26,9,17
329,19,6,13
330,18,5,13
331,9,6,3
332,28,8,20
333,22,9,13
334,39,14,25
335,19,6,13
336,24,5,19
337,14,4,10
338,12,7,5
339,16,7,9
340,31,15,16
341,12,9,3
342,15,5,10
343,23,13,10
344,18,8,10
345,20,12,8
346,25,8,17
347,13,8,5
348,26,13,13
349,15,7,8
350,18,10,8
351,18,11,7
352,11,6,5
353,16,6,10
354,25,7,18
355,17,6,11
356,20,8,12
357,15,8,7
358,10,4,6
359,22,9,13
360,16,7,9
361,19,9,10
362,33,9,24
363,12,5,7
364,19,7,12
365,21,11,10
366,18,4,14
367,13,7,6
368,8,4,4
369,13,7,6
370,24,12,12
371,22,9,13
372,21,5,16
373,29,9,20
374,30,17,13
375,30,12,18
376,14,5,9
377,24,15,9
378,22,10,12
379,19,8,11
380,55,12,43
381,22,3,19
382,37,9,28
383,10,4,6
384,15,9,6
385,47,21,26
386,20,8,12
387,33,9,24
