left_idx,w,V_count,P_count,C_count,H_count,S_prune,S_contain,D_count_max,V_search,P_search,B_mid,B_leaf,B_subtree,m,M_point,M_subtree,rho,sigma,avg_subtree_mass
0,55,903,421,18,464,49083,14,15,885,421,23,0,18,41,23,32,1.34146,0.581818,1.77778
1,27,596,279,9,308,49402,2,15,587,279,16,0,9,25,16,11,1.08,0.407407,1.22222
2,21,431,200,6,225,49567,2,15,425,200,13,0,6,19,13,8,1.10526,0.380952,1.33333
3,10,622,299,5,318,49378,0,15,617,299,5,0,5,10,5,5,1,0.5,1
4,19,383,176,6,201,49615,2,15,377,176,11,0,6,17,11,8,1.11765,0.421053,1.33333
5,27,698,327,6,365,49300,2,15,692,327,19,0,6,25,19,8,1.08,0.296296,1.33333
6,21,456,211,5,240,49542,2,15,451,211,14,0,5,19,14,7,1.10526,0.333333,1.4
7,32,316,130,14,172,49681,3,15,302,130,15,0,14,29,15,17,1.10345,0.53125,1.21429
8,14,95,41,4,50,49903,2,15,91,41,8,0,4,12,8,6,1.16667,0.428571,1.5
9,23,370,168,5,197,49628,2,15,365,168,16,0,5,21,16,7,1.09524,0.304348,1.4
10,15,432,203,5,224,49566,2,15,427,203,8,0,5,13,8,7,1.15385,0.466667,1.4
11,4,126,59,2,65,49874,0,15,124,59,2,0,2,4,2,2,1,0.5,1
12,8,241,112,4,125,49759,0,15,237,112,4,0,4,8,4,4,1,0.5,1
13,18,659,313,5,341,49339,2,15,654,313,11,0,5,16,11,7,1.125,0.388889,1.4
14,19,555,263,7,285,49441,4,15,548,263,8,0,7,15,8,11,1.26667,0.578947,1.57143
15,27,435,198,9,228,49561,4,15,426,198,14,0,9,23,14,13,1.17391,0.481481,1.44444
16,24,659,310,7,342,49338,3,15,652,310,14,0,7,21,14,10,1.14286,0.416667,1.42857
17,8,411,199,2,210,49589,0,15,409,199,6,0,2,8,6,2,1,0.25,1
18,17,333,151,9,173,49665,2,15,324,151,6,0,9,15,6,11,1.13333,0.647059,1.22222
19,7,350,167,3,180,49650,0,15,347,167,4,0,3,7,4,3,1,0.428571,1
20,27,344,153,9,182,49655,1,15,335,153,17,0,9,26,17,10,1.03846,0.37037,1.11111
21,17,636,301,8,327,49363,1,15,628,301,8,0,8,16,8,9,1.0625,0.529412,1.125
22,22,392,177,10,205,49605,3,15,382,177,9,0,10,19,9,13,1.15789,0.590909,1.3
23,30,1172,564,10,598,48825,3,15,1162,564,17,0,10,27,17,13,1.11111,0.433333,1.3
24,14,246,111,4,131,49753,1,15,242,111,9,0,4,13,9,5,1.07692,0.357143,1.25
25,23,242,104,11,127,49758,0,15,231,104,12,0,11,23,12,11,1,0.478261,1
26,36,400,177,10,213,49597,3,15,390,177,23,0,10,33,23,13,1.09091,0.361111,1.3
27,18,371,170,7,194,49628,1,15,364,170,10,0,7,17,10,8,1.05882,0.444444,1.14286
28,27,936,448,8,480,49061,3,15,928,448,16,0,8,24,16,11,1.125,0.407407,1.375
29,16,577,273,6,298,49423,0,15,571,273,10,0,6,16,10,6,1,0.375,1
