group_size,count
1,144
2,284
3,416
4,606
5,724
6,920
7,1088
8,1265
9,1405
10,1543
11,1718
12,1780
13,1937
14,1964
15,1976
16,2088
17,2135
18,2020
19,1988
20,1965
21,1909
22,1809
23,1810
24,1619
25,1605
26,1437
27,1394
28,1276
29,1091
30,992
31,860
32,780
33,706
34,625
35,543
36,509
37,427
38,362
39,319
40,265
41,237
42,192
43,197
44,142
45,127
46,117
47,103
48,83
49,52
50,41
51,51
52,42
53,25
54,35
55,20
56,33
57,17
58,17
59,11
60,12
61,5
62,6
63,3
64,7
65,6
66,4
67,6
68,5
69,3
70,4
71,1
72,1
73,2
74,1
75,2
76,1
78,1
79,4
80,1
81,1
82,2
83,1
84,3
105,1
