depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,10,0.900511,0.900538,0.900538,0.350645,0.350645,0.350645
1,2,20,0.900467,0.900521,0.900523,0.0876379,0.088654,0.0888826
2,4,40,0.900351,0.900465,0.900521,0.0218667,0.0223132,0.0224505
3,8,80,0.453363,0.900376,0.900456,0.00548788,0.00560767,0.00562482
4,16,160,0.45225,0.899967,0.900427,0.00137177,0.00141462,0.00143255
5,32,320,0.449748,0.45506,0.462977,0.00033943,0.000360382,0.000369043
6,64,640,0.44747,0.454449,0.462688,8.4229e-05,8.98464e-05,9.75593e-05
7,128,1280,0.442867,0.453634,0.462445,2.01195e-05,2.33677e-05,2.51131e-05
8,256,2560,0.23064,0.449805,0.460956,4.79776e-06,5.7968e-06,6.67945e-06
9,512,5120,0.22371,0.441812,0.458425,1.0841e-06,1.40124e-06,1.75305e-06
10,1024,10240,0.216347,0.233212,0.257603,2.17206e-07,3.22648e-07,4.33748e-07
11,2048,20480,0.20169,0.227051,0.250002,3.43187e-08,6.13062e-08,1.01626e-07
12,4096,40960,0.161646,0.214253,0.241034,3.08276e-09,8.40674e-09,1.6868e-08
13,8192,81920,0.0942464,0.18258,0.225181,5.97045e-11,4.12522e-10,1.44352e-09
14,16384,163840,0.0361918,0.0976514,0.179322,6.23076e-16,2.25741e-13,9.56436e-12
15,17233,172330,0,0,0,0,0,0
