run_id,depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
chunk_d2_N5000_a10_t300000_F0_rep0,0,1,4,0.96859,0.968623,0.968623,0.880158,0.880158,0.880158
chunk_d2_N5000_a10_t300000_F0_rep0,1,2,8,0.72588,0.968558,0.968558,0.219671,0.219689,0.219693
chunk_d2_N5000_a10_t300000_F0_rep0,2,4,16,0.484038,0.488176,0.489932,0.0548509,0.0560117,0.0562699
chunk_d2_N5000_a10_t300000_F0_rep0,3,8,32,0.364989,0.488067,0.489932,0.0138935,0.0143343,0.0146042
chunk_d2_N5000_a10_t300000_F0_rep0,4,16,64,0.241063,0.252192,0.258516,0.00337505,0.00377776,0.0038692
chunk_d2_N5000_a10_t300000_F0_rep0,5,32,128,0.175878,0.249059,0.256979,0.00081015,0.000974544,0.00118237
chunk_d2_N5000_a10_t300000_F0_rep0,6,64,256,0.11792,0.128574,0.140729,0.000185926,0.000245799,0.000325772
chunk_d2_N5000_a10_t300000_F0_rep0,7,128,512,0.0814401,0.122811,0.137326,4.33942e-05,6.11655e-05,7.97949e-05
chunk_d2_N5000_a10_t300000_F0_rep0,8,256,1024,0.054264,0.0660154,0.0753275,8.60271e-06,1.43217e-05,2.05373e-05
chunk_d2_N5000_a10_t300000_F0_rep0,9,512,2048,0.033803,0.05753,0.0716995,1.18589e-06,3.11035e-06,6.04546e-06
chunk_d2_N5000_a10_t300000_F0_rep0,10,1024,4096,0.0169183,0.0289553,0.0409548,7.73174e-08,3.93693e-07,1.16214e-06
chunk_d2_N5000_a10_t300000_F0_rep0,11,2048,8192,0.0,0.0122635,0.0283053,0.0,6.40815e-09,1.10397e-07
chunk_d2_N5000_a10_t300000_F0_rep0,12,905,3620,0.0,0.0,0.0,0.0,0.0,0.0
correctness_d2_N500_a1_t20000_F0_rep0,0,1,4,0.963368,0.963636,0.963636,0.861328,0.861328,0.861328
correctness_d2_N500_a1_t20000_F0_rep0,1,2,8,0.728568,0.963636,0.963636,0.212318,0.22714,0.230474
correctness_d2_N500_a1_t20000_F0_rep0,2,4,16,0.471087,0.507869,0.511674,0.0516504,0.0584905,0.060161
correctness_d2_N500_a1_t20000_F0_rep0,3,8,32,0.342757,0.502974,0.510042,0.0121639,0.014487,0.0148668
correctness_d2_N500_a1_t20000_F0_rep0,4,16,64,0.229828,0.253258,0.273341,0.00287823,0.00376811,0.00396871
correctness_d2_N500_a1_t20000_F0_rep0,5,32,128,0.145038,0.252045,0.265323,0.000554668,0.00104839,0.00123887
correctness_d2_N500_a1_t20000_F0_rep0,6,64,256,0.0893479,0.127182,0.180651,5.63062e-05,0.000195706,0.000388044
correctness_d2_N500_a1_t20000_F0_rep0,7,128,512,0.0364121,0.0883969,0.139418,1.94884e-06,1.91663e-05,5.19441e-05
correctness_d2_N500_a1_t20000_F0_rep0,8,245,980,0.0,0.0,0.0,0.0,0.0,0.0
density_d3_N2000_a10_t20000_F1_rep0,0,1,6,0.96679,0.979203,0.984508,0.824469,0.824469,0.824469
density_d3_N2000_a10_t20000_F1_rep0,1,2,12,0.960704,0.972741,0.983768,0.301112,0.356568,0.369046
density_d3_N2000_a10_t20000_F1_rep0,2,4,24,0.647101,0.957888,0.968534,0.0898611,0.126285,0.138132
density_d3_N2000_a10_t20000_F1_rep0,3,8,48,0.514123,0.797685,0.956836,0.0252139,0.0411123,0.0522592
density_d3_N2000_a10_t20000_F1_rep0,4,16,96,0.470912,0.701808,0.934379,0.00813466,0.0181894,0.0254514
density_d3_N2000_a10_t20000_F1_rep0,5,32,192,0.385818,0.528804,0.797178,0.00207821,0.00443443,0.0119547
density_d3_N2000_a10_t20000_F1_rep0,6,64,384,0.27493,0.416505,0.54706,0.000538769,0.00132176,0.00312652
density_d3_N2000_a10_t20000_F1_rep0,7,128,768,0.226688,0.334455,0.503047,9.17749e-05,0.000276233,0.000650314
density_d3_N2000_a10_t20000_F1_rep0,8,256,1536,0.149678,0.258211,0.406379,9.45746e-06,3.48817e-05,0.000104177
density_d3_N2000_a10_t20000_F1_rep0,9,512,3072,0.0721094,0.159324,0.287858,7.59798e-08,9.30164e-07,5.34144e-06
density_d3_N2000_a10_t20000_F1_rep0,10,977,5862,0.0,0.0,0.0,0.0,0.0,0.0
