run_id,group_size,count
chunk_d2_N5000_a10_t300000_F0_rep0,4,1
chunk_d2_N5000_a10_t300000_F0_rep0,7,1
chunk_d2_N5000_a10_t300000_F0_rep0,9,1
chunk_d2_N5000_a10_t300000_F0_rep0,10,1
chunk_d2_N5000_a10_t300000_F0_rep0,11,2
chunk_d2_N5000_a10_t300000_F0_rep0,12,2
chunk_d2_N5000_a10_t300000_F0_rep0,15,1
chunk_d2_N5000_a10_t300000_F0_rep0,16,4
chunk_d2_N5000_a10_t300000_F0_rep0,17,2
chunk_d2_N5000_a10_t300000_F0_rep0,18,5
chunk_d2_N5000_a10_t300000_F0_rep0,19,5
chunk_d2_N5000_a10_t300000_F0_rep0,20,5
chunk_d2_N5000_a10_t300000_F0_rep0,21,5
chunk_d2_N5000_a10_t300000_F0_rep0,22,5
chunk_d2_N5000_a10_t300000_F0_rep0,23,8
chunk_d2_N5000_a10_t300000_F0_rep0,24,9
chunk_d2_N5000_a10_t300000_F0_rep0,25,10
chunk_d2_N5000_a10_t300000_F0_rep0,26,9
chunk_d2_N5000_a10_t300000_F0_rep0,27,9
chunk_d2_N5000_a10_t300000_F0_rep0,28,14
chunk_d2_N5000_a10_t300000_F0_rep0,29,12
chunk_d2_N5000_a10_t300000_F0_rep0,30,20
chunk_d2_N5000_a10_t300000_F0_rep0,31,29
chunk_d2_N5000_a10_t300000_F0_rep0,32,33
chunk_d2_N5000_a10_t300000_F0_rep0,33,34
chunk_d2_N5000_a10_t300000_F0_rep0,34,18
chunk_d2_N5000_a10_t300000_F0_rep0,35,31
chunk_d2_N5000_a10_t300000_F0_rep0,36,54
chunk_d2_N5000_a10_t300000_F0_rep0,37,49
chunk_d2_N5000_a10_t300000_F0_rep0,38,51
chunk_d2_N5000_a10_t300000_F0_rep0,39,55
chunk_d2_N5000_a10_t300000_F0_rep0,40,53
chunk_d2_N5000_a10_t300000_F0_rep0,41,49
chunk_d2_N5000_a10_t300000_F0_rep0,42,66
chunk_d2_N5000_a10_t300000_F0_rep0,43,71
chunk_d2_N5000_a10_t300000_F0_rep0,44,87
chunk_d2_N5000_a10_t300000_F0_rep0,45,85
chunk_d2_N5000_a10_t300000_F0_rep0,46,84
chunk_d2_N5000_a10_t300000_F0_rep0,47,98
chunk_d2_N5000_a10_t300000_F0_rep0,48,110
chunk_d2_N5000_a10_t300000_F0_rep0,49,101
chunk_d2_N5000_a10_t300000_F0_rep0,50,108
chunk_d2_N5000_a10_t300000_F0_rep0,51,106
chunk_d2_N5000_a10_t300000_F0_rep0,52,111
chunk_d2_N5000_a10_t300000_F0_rep0,53,125
chunk_d2_N5000_a10_t300000_F0_rep0,54,148
chunk_d2_N5000_a10_t300000_F0_rep0,55,123
chunk_d2_N5000_a10_t300000_F0_rep0,56,116
chunk_d2_N5000_a10_t300000_F0_rep0,57,127
chunk_d2_N5000_a10_t300000_F0_rep0,58,113
chunk_d2_N5000_a10_t300000_F0_rep0,59,139
chunk_d2_N5000_a10_t300000_F0_rep0,60,126
chunk_d2_N5000_a10_t300000_F0_rep0,61,121
chunk_d2_N5000_a10_t300000_F0_rep0,62,124
chunk_d2_N5000_a10_t300000_F0_rep0,63,140
chunk_d2_N5000_a10_t300000_F0_rep0,64,111
chunk_d2_N5000_a10_t300000_F0_rep0,65,118
chunk_d2_N5000_a10_t300000_F0_rep0,66,117
chunk_d2_N5000_a10_t300000_F0_rep0,67,113
chunk_d2_N5000_a10_t300000_F0_rep0,68,96
chunk_d2_N5000_a10_t300000_F0_rep0,69,92
chunk_d2_N5000_a10_t300000_F0_rep0,70,109
chunk_d2_N5000_a10_t300000_F0_rep0,71,103
chunk_d2_N5000_a10_t300000_F0_rep0,72,90
chunk_d2_N5000_a10_t300000_F0_rep0,73,81
chunk_d2_N5000_a10_t300000_F0_rep0,74,65
chunk_d2_N5000_a10_t300000_F0_rep0,75,69
chunk_d2_N5000_a10_t300000_F0_rep0,76,75
chunk_d2_N5000_a10_t300000_F0_rep0,77,76
chunk_d2_N5000_a10_t300000_F0_rep0,78,51
chunk_d2_N5000_a10_t300000_F0_rep0,79,50
chunk_d2_N5000_a10_t300000_F0_rep0,80,56
chunk_d2_N5000_a10_t300000_F0_rep0,81,46
chunk_d2_N5000_a10_t300000_F0_rep0,82,42
chunk_d2_N5000_a10_t300000_F0_rep0,83,40
chunk_d2_N5000_a10_t300000_F0_rep0,84,36
