depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,4,0.96859,0.968623,0.968623,0.880158,0.880158,0.880158
1,2,8,0.72588,0.968558,0.968558,0.219671,0.219689,0.219693
2,4,16,0.484038,0.488176,0.489932,0.0548509,0.0560117,0.0562699
3,8,32,0.364989,0.488067,0.489932,0.0138935,0.0143343,0.0146042
4,16,64,0.241063,0.252192,0.258516,0.00337505,0.00377776,0.0038692
5,32,128,0.175878,0.249059,0.256979,0.00081015,0.000974544,0.00118237
6,64,256,0.11792,0.128574,0.140729,0.000185926,0.000245799,0.000325772
7,128,512,0.0814401,0.122811,0.137326,4.33942e-05,6.11655e-05,7.97949e-05
8,256,1024,0.054264,0.0660154,0.0753275,8.60271e-06,1.43217e-05,2.05373e-05
9,512,2048,0.033803,0.05753,0.0716995,1.18589e-06,3.11035e-06,6.04546e-06
10,1024,4096,0.0169183,0.0289553,0.0409548,7.73174e-08,3.93693e-07,1.16214e-06
11,2048,8192,0,0.0122635,0.0283053,0,6.40815e-09,1.10397e-07
12,905,3620,0,0,0,0,0,0
