group_idx,group_size,K_point,K_subtree
0,51,13,38
1,85,36,49
2,64,16,48
3,53,19,34
4,67,40,27
5,74,26,48
6,47,8,39
7,57,25,32
8,24,9,15
9,59,20,39
10,47,28,19
11,48,7,41
12,75,32,43
13,80,27,53
14,57,7,50
15,20,4,16
16,44,28,16
17,57,21,36
18,64,30,34
19,56,26,30
20,58,6,52
21,50,28,22
22,45,21,24
23,53,10,43
24,79,42,37
25,65,21,44
26,50,11,39
27,43,12,31
28,63,18,45
29,67,8,59
30,39,6,33
31,82,23,59
32,54,23,31
33,59,16,43
34,64,30,34
35,63,18,45
36,72,25,47
37,67,30,37
38,23,5,18
39,62,22,40
40,53,21,32
41,67,42,25
42,68,46,22
43,53,7,46
44,54,20,34
45,69,34,35
46,61,26,35
47,44,12,32
48,73,37,36
49,35,14,21
50,62,21,41
51,77,31,46
52,45,26,19
53,63,27,36
54,75,35,40
55,63,4,59
56,52,17,35
57,67,14,53
58,63,25,38
59,60,11,49
60,48,15,33
61,52,25,27
62,77,10,67
63,77,31,46
64,58,17,41
65,43,20,23
66,52,20,32
67,57,8,49
68,54,18,36
69,92,13,79
70,66,11,55
71,39,16,23
72,69,29,40
73,71,24,47
74,77,24,53
75,34,16,18
76,99,37,62
77,66,19,47
78,65,21,44
79,63,12,51
80,60,17,43
81,39,15,24
82,62,25,37
83,53,10,43
84,57,28,29
85,70,22,48
86,60,31,29
87,73,27,46
88,64,22,42
89,64,20,44
90,57,12,45
91,62,19,43
92,39,14,25
93,80,28,52
94,75,16,59
95,33,13,20
96,68,32,36
97,39,20,19
98,63,27,36
99,74,23,51
100,35,18,17
101,77,26,51
102,60,13,47
103,52,22,30
104,54,18,36
105,74,22,52
106,51,16,35
107,44,12,32
108,32,17,15
109,49,13,36
110,58,29,29
111,64,28,36
112,64,24,40
113,65,27,38
114,53,10,43
115,43,15,28
116,77,24,53
117,58,15,43
118,49,18,31
119,73,36,37
120,86,19,67
121,68,19,49
122,47,21,26
123,40,17,23
124,42,19,23
125,59,25,34
126,43,16,27
127,55,18,37
128,44,13,31
129,51,20,31
130,78,25,53
131,45,19,26
132,25,15,10
133,80,21,59
134,80,22,58
135,62,12,50
136,70,35,35
137,80,18,62
138,38,15,23
139,53,24,29
140,57,23,34
141,56,21,35
142,88,30,58
143,81,42,39
144,72,18,54
145,85,25,60
146,59,12,47
147,60,30,30
148,59,23,36
149,86,17,69
150,36,10,26
151,69,14,55
152,59,17,42
153,56,29,27
154,76,24,52
155,60,11,49
156,52,20,32
157,74,36,38
158,60,26,34
159,63,21,42
160,37,12,25
161,35,19,16
162,80,13,67
163,47,23,24
164,44,14,30
165,54,29,25
166,85,24,61
167,52,20,32
168,47,9,38
169,63,30,33
170,55,28,27
171,34,16,18
172,88,27,61
173,78,29,49
174,42,11,31
175,39,14,25
176,67,19,48
177,63,21,42
178,65,25,40
179,62,22,40
180,87,22,65
181,44,10,34
182,52,15,37
