group_size,count
4,1
7,1
9,1
10,1
11,2
12,2
15,1
16,4
17,2
18,5
19,5
20,5
21,5
22,5
23,8
24,9
25,10
26,9
27,9
28,14
29,12
30,20
31,29
32,33
33,34
34,18
35,31
36,54
37,49
38,51
39,55
40,53
41,49
42,66
43,71
44,87
45,85
46,84
47,98
48,110
49,101
50,108
51,106
52,111
53,125
54,148
55,123
56,116
57,127
58,113
59,139
60,126
61,121
62,124
63,140
64,111
65,118
66,117
67,113
68,96
69,92
70,109
71,103
72,90
73,81
74,65
75,69
76,75
77,76
78,51
79,50
80,56
81,46
82,42
83,40
84,36
85,34
86,27
87,36
88,24
89,22
90,26
91,16
92,17
93,16
94,11
95,9
96,12
97,19
98,12
99,14
100,9
101,12
102,6
103,4
104,2
105,2
106,2
107,4
108,2
109,1
110,1
111,1
112,1
113,1
116,1
118,1
124,1
128,2
