group_idx,group_size,K_point,K_subtree
0,32,16,16
1,32,19,13
2,63,41,22
3,44,27,17
4,22,0,22
5,57,36,21
6,35,25,10
7,17,0,17
8,22,0,22
9,45,33,12
10,41,27,14
11,158,30,128
12,71,53,18
13,67,29,38
14,90,52,38
15,15,0,15
16,30,30,0
17,31,17,14
18,147,67,80
19,78,56,22
20,14,14,0
21,64,40,24
22,18,0,18
23,42,42,0
24,38,20,18
25,55,41,14
26,19,0,19
27,55,35,20
28,14,0,14
29,40,40,0
30,107,18,89
31,52,36,16
32,26,0,26
33,31,19,12
34,20,0,20
35,18,0,18
36,13,13,0
37,18,18,0
38,37,20,17
39,83,0,83
40,52,32,20
41,42,14,28
42,23,23,0
43,45,22,23
44,26,26,0
45,133,58,75
46,18,18,0
47,41,0,41
48,75,18,57
49,39,19,20
50,46,22,24
51,41,21,20
52,69,0,69
53,16,0,16
54,14,14,0
55,30,30,0
56,59,16,43
57,31,17,14
58,46,33,13
59,16,0,16
60,42,0,42
61,43,20,23
62,70,20,50
63,62,20,42
64,40,15,25
65,53,0,53
66,26,26,0
67,68,32,36
68,119,79,40
69,40,0,40
70,30,30,0
71,86,0,86
72,24,0,24
73,59,20,39
74,23,0,23
75,57,27,30
76,25,0,25
77,84,20,64
78,54,18,36
79,51,25,26
80,19,19,0
81,83,49,34
82,10,0,10
83,19,19,0
84,38,19,19
85,37,37,0
86,35,19,16
87,76,27,49
88,53,31,22
89,19,19,0
90,42,19,23
91,55,35,20
92,15,15,0
93,35,0,35
94,44,19,25
95,20,0,20
96,43,23,20
97,22,22,0
98,82,44,38
99,64,20,44
100,60,38,22
101,47,0,47
102,39,22,17
103,13,13,0
104,76,28,48
105,70,16,54
106,79,45,34
107,60,16,44
108,17,17,0
109,13,13,0
110,43,24,19
111,18,0,18
112,77,32,45
113,107,41,66
114,110,24,86
115,39,20,19
116,12,12,0
117,48,48,0
118,19,19,0
119,22,22,0
120,84,11,73
121,43,28,15
122,26,26,0
123,25,0,25
124,19,19,0
125,41,21,20
126,82,37,45
127,38,18,20
128,37,20,17
129,28,13,15
130,92,14,78
131,42,0,42
132,57,28,29
133,39,39,0
134,96,41,55
135,52,37,15
136,34,34,0
137,60,0,60
138,16,16,0
139,37,37,0
140,60,45,15
141,10,10,0
142,32,32,0
143,20,20,0
144,17,0,17
145,42,17,25
146,69,18,51
147,42,21,21
148,37,14,23
149,106,24,82
150,68,15,53
151,68,68,0
152,69,48,21
153,20,0,20
154,68,18,50
155,39,19,20
156,10,10,0
157,45,23,22
158,58,22,36
159,20,0,20
160,24,24,0
161,21,0,21
162,56,23,33
163,69,25,44
164,78,53,25
165,40,25,15
166,19,19,0
167,41,19,22
168,41,20,21
169,32,16,16
170,52,34,18
171,38,38,0
172,38,16,22
173,42,16,26
174,89,50,39
175,35,17,18
176,51,30,21
177,47,47,0
178,63,43,20
179,59,14,45
180,99,52,47
181,18,18,0
182,43,26,17
183,44,24,20
184,28,28,0
185,63,36,27
186,30,0,30
187,47,21,26
188,27,27,0
189,77,34,43
190,22,0,22
191,92,36,56
192,47,47,0
193,70,40,30
194,21,21,0
195,21,0,21
196,36,13,23
197,43,43,0
198,16,0,16
199,24,0,24
200,71,30,41
201,63,43,20
202,20,0,20
203,25,0,25
204,81,39,42
205,83,21,62
206,49,0,49
207,53,17,36
208,14,14,0
209,27,14,13
210,76,0,76
211,49,0,49
212,56,16,40
213,16,16,0
214,39,24,15
215,37,18,19
216,22,14,8
217,81,62,19
218,48,13,35
219,56,21,35
220,17,17,0
221,37,37,0
222,54,40,14
223,59,43,16
224,56,42,14
225,14,14,0
226,99,59,40
227,49,40,9
228,40,19,21
229,24,0,24
230,23,23,0
231,13,13,0
232,22,0,22
233,17,17,0
234,39,13,26
235,43,28,15
236,49,49,0
237,33,16,17
238,23,23,0
239,45,23,22
240,54,38,16
241,127,56,71
242,30,30,0
243,81,17,64
244,40,21,19
245,18,18,0
246,79,41,38
247,35,13,22
248,20,20,0
249,63,63,0
250,30,17,13
251,64,0,64
252,50,36,14
253,21,0,21
254,19,19,0
255,38,23,15
256,31,17,14
257,63,20,43
258,52,0,52
259,68,20,48
260,103,19,84
261,93,59,34
262,12,12,0
263,52,14,38
264,47,25,22
265,57,31,26
266,90,22,68
267,16,0,16
268,86,69,17
269,105,70,35
270,107,48,59
271,23,0,23
272,13,0,13
273,46,0,46
274,40,0,40
275,22,22,0
276,19,19,0
277,35,20,15
278,41,26,15
279,57,19,38
280,39,0,39
281,62,47,15
282,35,35,0
283,16,16,0
284,15,0,15
285,82,20,62
286,43,19,24
287,14,14,0
288,81,81,0
289,14,14,0
290,33,15,18
291,66,66,0
292,20,0,20
293,60,16,44
294,20,0,20
295,43,20,23
296,65,18,47
297,39,20,19
298,52,35,17
299,66,27,39
300,63,49,14
301,25,25,0
302,24,0,24
303,72,28,44
304,58,27,31
305,59,17,42
306,104,63,41
307,35,20,15
308,139,0,139
309,24,0,24
310,43,19,24
311,22,22,0
312,30,15,15
313,30,0,30
314,16,0,16
315,42,42,0
316,76,59,17
317,53,18,35
318,53,24,29
319,13,0,13
320,17,0,17
321,74,0,74
322,64,64,0
323,15,15,0
324,21,21,0
325,22,22,0
326,95,88,7
327,37,37,0
328,46,20,26
329,71,53,18
330,21,21,0
331,90,25,65
332,21,0,21
333,16,0,16
334,18,0,18
335,32,15,17
336,14,0,14
337,42,19,23
338,86,54,32
339,24,24,0
340,50,26,24
341,73,58,15
342,82,60,22
343,26,26,0
344,66,29,37
345,87,52,35
346,74,39,35
347,37,23,14
348,22,22,0
349,62,20,42
350,24,24,0
351,51,29,22
352,42,22,20
353,20,0,20
354,39,18,21
355,47,9,38
356,55,36,19
357,84,37,47
358,35,22,13
359,49,34,15
360,32,32,0
361,50,50,0
362,25,0,25
363,86,30,56
364,46,23,23
365,36,23,13
366,44,44,0
367,34,17,17
368,78,17,61
369,43,15,28
370,57,0,57
371,66,19,47
372,39,19,20
373,26,26,0
374,13,0,13
375,60,19,41
376,18,18,0
377,65,19,46
378,35,18,17
379,45,19,26
380,23,0,23
381,52,34,18
382,17,0,17
383,18,0,18
384,36,17,19
385,56,0,56
386,31,31,0
387,86,38,48
388,21,0,21
389,42,16,26
390,21,0,21
391,44,30,14
392,50,36,14
393,52,36,16
394,33,18,15
395,56,29,27
396,41,0,41
397,139,34,105
398,74,15,59
399,39,21,18
400,37,37,0
401,24,24,0
402,74,34,40
403,56,29,27
404,45,0,45
405,44,22,22
406,46,29,17
407,28,0,28
408,44,25,19
409,45,26,19
410,54,0,54
411,52,40,12
412,93,40,53
413,51,0,51
414,56,20,36
415,98,65,33
416,73,34,39
417,18,18,0
418,143,31,112
419,50,22,28
420,33,16,17
421,17,0,17
422,38,20,18
423,78,43,35
424,19,19,0
425,35,18,17
426,54,11,43
427,52,52,0
428,38,22,16
