group_size,count
10,3
12,2
13,7
14,8
15,4
16,9
17,8
18,11
19,10
20,10
21,9
22,11
23,6
24,9
25,5
26,6
27,2
28,3
30,8
31,5
32,6
33,4
34,2
35,11
36,3
37,10
38,8
39,12
40,7
41,8
42,12
43,11
44,7
45,7
46,6
47,6
48,2
49,5
50,5
51,4
52,11
53,5
54,5
55,4
56,8
57,6
58,2
59,5
60,6
62,3
63,7
64,4
65,2
66,4
67,1
68,5
69,4
70,3
71,3
72,1
73,2
74,4
75,1
76,4
77,2
78,4
79,2
81,4
82,4
83,3
84,3
86,5
87,1
89,1
90,3
92,2
93,2
95,1
96,1
98,1
99,2
103,1
104,1
105,1
106,1
107,3
110,1
119,1
127,1
133,1
139,2
143,1
147,1
158,1
