left_idx,w,V_count,P_count,C_count,H_count,S_prune,S_contain,D_count_max,V_search,P_search,B_mid,B_leaf,B_subtree,m,M_point,M_subtree,rho,sigma,avg_subtree_mass
0,2,17,8,1,8,483,0,8,16,8,1,0,1,2,1,1,1,0.5,1
1,2,23,11,1,11,477,0,8,22,11,1,0,1,2,1,1,1,0.5,1
2,3,17,8,1,8,483,0,8,16,8,2,0,1,3,2,1,1,0.333333,1
3,3,26,12,1,13,474,0,8,25,12,2,0,1,3,2,1,1,0.333333,1
4,1,19,9,1,9,481,0,8,18,9,0,0,1,1,0,1,1,1,1
5,3,19,9,1,9,481,0,8,18,9,2,0,1,3,2,1,1,0.333333,1
6,2,19,9,1,9,481,0,8,18,9,1,0,1,2,1,1,1,0.5,1
7,1,23,11,1,11,477,0,8,22,11,0,0,1,1,0,1,1,1,1
8,1,21,10,1,10,479,0,8,20,10,0,0,1,1,0,1,1,1,1
9,3,26,12,1,13,474,0,8,25,12,2,0,1,3,2,1,1,0.333333,1
10,2,30,14,1,15,470,0,8,29,14,1,0,1,2,1,1,1,0.5,1
11,8,29,11,4,14,469,2,8,25,11,2,0,4,6,2,6,1.33333,0.75,1.5
12,4,19,9,1,9,481,0,8,18,9,3,0,1,4,3,1,1,0.25,1
13,4,21,9,2,10,479,0,8,19,9,2,0,2,4,2,2,1,0.5,1
14,5,23,10,2,11,477,0,8,21,10,3,0,2,5,3,2,1,0.4,1
15,1,23,11,1,11,477,0,8,22,11,0,0,1,1,0,1,1,1,1
16,2,18,9,0,9,482,0,8,18,9,2,0,0,2,2,0,1,0,nan
17,2,17,8,1,8,483,0,8,16,8,1,0,1,2,1,1,1,0.5,1
18,7,21,9,2,10,477,2,8,19,9,3,0,2,5,3,4,1.4,0.571429,2
19,4,23,11,1,11,477,0,8,22,11,3,0,1,4,3,1,1,0.25,1
20,1,17,9,0,8,483,0,8,17,9,1,0,0,1,1,0,1,0,nan
21,3,19,9,1,9,481,0,8,18,9,2,0,1,3,2,1,1,0.333333,1
22,1,19,9,1,9,481,0,8,18,9,0,0,1,1,0,1,1,1,1
23,0,15,8,0,7,485,0,6,15,8,0,0,0,0,0,0,nan,nan,nan
24,2,19,10,0,9,481,0,8,19,10,2,0,0,2,2,0,1,0,nan
25,2,17,8,1,8,483,0,8,16,8,1,0,1,2,1,1,1,0.5,1
26,3,33,16,1,16,467,0,8,32,16,2,0,1,3,2,1,1,0.333333,1
27,1,17,8,1,8,483,0,8,16,8,0,0,1,1,0,1,1,1,1
28,3,27,13,1,13,473,0,8,26,13,2,0,1,3,2,1,1,0.333333,1
29,1,17,8,1,8,483,0,8,16,8,0,0,1,1,0,1,1,1,1
30,2,17,9,0,8,483,0,8,17,9,2,0,0,2,2,0,1,0,nan
31,5,21,9,2,10,477,2,8,19,9,1,0,2,3,1,4,1.66667,0.8,2
32,0,17,9,0,8,483,0,7,17,9,0,0,0,0,0,0,nan,nan,nan
33,3,21,10,1,10,479,0,8,20,10,2,0,1,3,2,1,1,0.333333,1
34,1,16,7,1,8,484,0,8,15,7,0,0,1,1,0,1,1,1,1
35,2,19,9,1,9,481,0,8,18,9,1,0,1,2,1,1,1,0.5,1
36,1,17,8,1,8,483,0,8,16,8,0,0,1,1,0,1,1,1,1
37,1,17,8,1,8,483,0,8,16,8,0,0,1,1,0,1,1,1,1
38,0,17,9,0,8,483,0,8,17,9,0,0,0,0,0,0,nan,nan,nan
39,0,15,8,0,7,485,0,7,15,8,0,0,0,0,0,0,nan,nan,nan
40,1,17,9,0,8,483,0,8,17,9,1,0,0,1,1,0,1,0,nan
41,1,16,8,0,8,484,0,8,16,8,1,0,0,1,1,0,1,0,nan
42,2,23,11,1,11,477,0,8,22,11,1,0,1,2,1,1,1,0.5,1
43,4,21,9,2,10,477,2,8,19,9,0,0,2,2,0,4,2,1,2
44,3,17,8,1,8,483,0,8,16,8,2,0,1,3,2,1,1,0.333333,1
45,2,17,8,1,8,483,0,8,16,8,1,0,1,2,1,1,1,0.5,1
46,1,33,17,0,16,467,0,8,33,17,1,0,0,1,1,0,1,0,nan
47,2,29,14,1,14,471,0,8,28,14,1,0,1,2,1,1,1,0.5,1
48,1,17,9,0,8,483,0,8,17,9,1,0,0,1,1,0,1,0,nan
49,6,19,7,3,9,481,0,8,16,7,3,0,3,6,3,3,1,0.5,1
50,1,17,9,0,8,483,0,8,17,9,1,0,0,1,1,0,1,0,nan
51,0,17,9,0,8,483,0,8,17,9,0,0,0,0,0,0,nan,nan,nan
52,0,17,9,0,8,483,0,8,17,9,0,0,0,0,0,0,nan,nan,nan
53,2,17,7,2,8,483,0,8,15,7,0,0,2,2,0,2,1,1,1
54,4,15,7,1,7,483,2,7,14,7,1,0,1,2,1,3,2,0.75,3
55,2,27,13,1,13,473,0,8,26,13,1,0,1,2,1,1,1,0.5,1
56,2,27,13,1,13,473,0,8,26,13,1,0,1,2,1,1,1,0.5,1
57,2,23,11,1,11,477,0,8,22,11,1,0,1,2,1,1,1,0.5,1
58,4,19,8,2,9,479,2,8,17,8,0,0,2,2,0,4,2,1,2
59,1,17,8,1,8,483,0,8,16,8,0,0,1,1,0,1,1,1,1
60,1,15,8,0,7,485,0,7,15,8,1,0,0,1,1,0,1,0,nan
61,2,17,9,0,8,483,0,7,17,9,2,0,0,2,2,0,1,0,nan
62,3,23,10,2,11,477,0,8,21,10,1,0,2,3,1,2,1,0.666667,1
63,2,27,13,1,13,473,0,8,26,13,1,0,1,2,1,1,1,0.5,1
64,3,19,9,1,9,481,0,8,18,9,2,0,1,3,2,1,1,0.333333,1
65,1,17,8,1,8,483,0,8,16,8,0,0,1,1,0,1,1,1,1
66,2,29,13,2,14,471,0,8,27,13,0,0,2,2,0,2,1,1,1
67,2,23,11,1,11,477,0,8,22,11,1,0,1,2,1,1,1,0.5,1
68,0,17,9,0,8,483,0,8,17,9,0,0,0,0,0,0,nan,nan,nan
69,3,25,11,2,12,475,0,8,23,11,1,0,2,3,1,2,1,0.666667,1
70,3,19,8,2,9,481,0,8,17,8,1,0,2,3,1,2,1,0.666667,1
71,2,19,9,1,9,481,0,8,18,9,1,0,1,2,1,1,1,0.5,1
72,3,21,9,2,10,478,1,8,19,9,0,0,2,2,0,3,1.5,1,1.5
73,2,17,9,0,8,483,0,7,17,9,2,0,0,2,2,0,1,0,nan
74,4,27,12,2,13,473,0,8,25,12,2,0,2,4,2,2,1,0.5,1
75,6,19,8,2,9,481,0,8,17,8,4,0,2,6,4,2,1,0.333333,1
76,2,29,13,2,14,471,0,8,27,13,0,0,2,2,0,2,1,1,1
77,2,19,10,0,9,481,0,8,19,10,2,0,0,2,2,0,1,0,nan
78,4,17,7,2,8,481,2,8,15,7,0,0,2,2,0,4,2,1,2
79,1,16,7,1,8,484,0,8,15,7,0,0,1,1,0,1,1,1,1
80,3,27,12,2,13,473,0,8,25,12,1,0,2,3,1,2,1,0.666667,1
81,1,17,8,1,8,483,0,8,16,8,0,0,1,1,0,1,1,1,1
82,2,18,8,1,9,482,0,8,17,8,1,0,1,2,1,1,1,0.5,1
83,1,17,8,1,8,483,0,8,16,8,0,0,1,1,0,1,1,1,1
84,4,15,7,1,7,483,2,7,14,7,1,0,1,2,1,3,2,0.75,3
85,3,21,9,2,10,479,0,8,19,9,1,0,2,3,1,2,1,0.666667,1
86,2,17,8,1,8,483,0,8,16,8,1,0,1,2,1,1,1,0.5,1
87,1,23,12,0,11,477,0,8,23,12,1,0,0,1,1,0,1,0,nan
88,4,21,9,2,10,479,0,8,19,9,2,0,2,4,2,2,1,0.5,1
89,1,17,8,1,8,483,0,8,16,8,0,0,1,1,0,1,1,1,1
90,1,15,8,0,7,485,0,7,15,8,1,0,0,1,1,0,1,0,nan
91,0,17,9,0,8,483,0,8,17,9,0,0,0,0,0,0,nan,nan,nan
92,2,23,11,1,11,477,0,8,22,11,1,0,1,2,1,1,1,0.5,1
93,0,15,8,0,7,485,0,7,15,8,0,0,0,0,0,0,nan,nan,nan
94,2,16,8,0,8,484,0,8,16,8,2,0,0,2,2,0,1,0,nan
95,2,17,8,1,8,483,0,8,16,8,1,0,1,2,1,1,1,0.5,1
96,3,23,10,2,11,477,0,8,21,10,1,0,2,3,1,2,1,0.666667,1
97,3,17,8,1,8,483,0,8,16,8,2,0,1,3,2,1,1,0.333333,1
98,0,21,11,0,10,479,0,7,21,11,0,0,0,0,0,0,nan,nan,nan
99,0,17,9,0,8,483,0,6,17,9,0,0,0,0,0,0,nan,nan,nan
100,1,23,12,0,11,477,0,8,23,12,1,0,0,1,1,0,1,0,nan
101,0,17,9,0,8,483,0,8,17,9,0,0,0,0,0,0,nan,nan,nan
102,2,19,9,1,9,481,0,8,18,9,1,0,1,2,1,1,1,0.5,1
103,3,25,12,1,12,475,0,8,24,12,2,0,1,3,2,1,1,0.333333,1
104,1,19,10,0,9,481,0,8,19,10,1,0,0,1,1,0,1,0,nan
105,2,15,7,1,7,484,1,7,14,7,0,0,1,1,0,2,2,1,2
106,2,17,8,1,8,483,0,8,16,8,1,0,1,2,1,1,1,0.5,1
107,1,35,17,1,17,465,0,8,34,17,0,0,1,1,0,1,1,1,1
108,2,17,8,1,8,483,0,8,16,8,1,0,1,2,1,1,1,0.5,1
109,1,17,9,0,8,483,0,8,17,9,1,0,0,1,1,0,1,0,nan
110,4,19,8,2,9,481,0,8,17,8,2,0,2,4,2,2,1,0.5,1
111,3,27,12,2,13,473,0,8,25,12,1,0,2,3,1,2,1,0.666667,1
112,3,21,10,1,10,479,0,8,20,10,2,0,1,3,2,1,1,0.333333,1
113,2,20,8,2,10,480,0,8,18,8,0,0,2,2,0,2,1,1,1
114,0,21,11,0,10,479,0,8,21,11,0,0,0,0,0,0,nan,nan,nan
115,2,17,8,1,8,483,0,8,16,8,1,0,1,2,1,1,1,0.5,1
116,0,17,9,0,8,483,0,8,17,9,0,0,0,0,0,0,nan,nan,nan
117,1,19,10,0,9,481,0,8,19,10,1,0,0,1,1,0,1,0,nan
118,0,17,9,0,8,483,0,8,17,9,0,0,0,0,0,0,nan,nan,nan
119,4,29,13,2,14,471,0,8,27,13,2,0,2,4,2,2,1,0.5,1
120,4,21,10,1,10,477,2,7,20,10,1,0,1,2,1,3,2,0.75,3
121,4,19,8,2,9,481,0,8,17,8,2,0,2,4,2,2,1,0.5,1
122,3,20,8,2,10,480,0,8,18,8,1,0,2,3,1,2,1,0.666667,1
123,1,17,9,0,8,483,0,8,17,9,1,0,0,1,1,0,1,0,nan
124,1,17,9,0,8,483,0,8,17,9,1,0,0,1,1,0,1,0,nan
125,2,30,14,1,15,470,0,8,29,14,1,0,1,2,1,1,1,0.5,1
126,1,19,9,1,9,481,0,8,18,9,0,0,1,1,0,1,1,1,1
127,4,25,11,2,12,475,0,8,23,11,2,0,2,4,2,2,1,0.5,1
128,5,27,11,3,13,473,0,8,24,11,2,0,3,5,2,3,1,0.6,1
129,5,21,9,2,10,477,2,8,19,9,1,0,2,3,1,4,1.66667,0.8,2
130,2,21,10,1,10,479,0,8,20,10,1,0,1,2,1,1,1,0.5,1
131,1,15,8,0,7,485,0,7,15,8,1,0,0,1,1,0,1,0,nan
132,3,19,10,0,9,481,0,8,19,10,3,0,0,3,3,0,1,0,nan
133,1,21,11,0,10,479,0,8,21,11,1,0,0,1,1,0,1,0,nan
134,1,21,11,0,10,479,0,7,21,11,1,0,0,1,1,0,1,0,nan
135,4,15,7,1,7,483,2,7,14,7,1,0,1,2,1,3,2,0.75,3
136,2,23,11,1,11,477,0,8,22,11,1,0,1,2,1,1,1,0.5,1
137,1,19,10,0,9,481,0,8,19,10,1,0,0,1,1,0,1,0,nan
138,1,19,9,1,9,481,0,8,18,9,0,0,1,1,0,1,1,1,1
139,1,17,9,0,8,483,0,8,17,9,1,0,0,1,1,0,1,0,nan
140,2,17,8,1,8,483,0,8,16,8,1,0,1,2,1,1,1,0.5,1
141,0,17,9,0,8,483,0,8,17,9,0,0,0,0,0,0,nan,nan,nan
142,4,21,9,2,10,479,0,8,19,9,2,0,2,4,2,2,1,0.5,1
143,2,19,9,1,9,481,0,8,18,9,1,0,1,2,1,1,1,0.5,1
144,2,17,8,1,8,483,0,8,16,8,1,0,1,2,1,1,1,0.5,1
145,2,17,8,1,8,483,0,8,16,8,1,0,1,2,1,1,1,0.5,1
146,5,25,11,2,12,473,2,8,23,11,1,0,2,3,1,4,1.66667,0.8,2
147,2,15,7,1,7,484,1,7,14,7,0,0,1,1,0,2,2,1,2
148,4,23,10,2,11,477,0,8,21,10,2,0,2,4,2,2,1,0.5,1
149,2,18,9,0,9,482,0,8,18,9,2,0,0,2,2,0,1,0,nan
150,0,21,11,0,10,479,0,8,21,11,0,0,0,0,0,0,nan,nan,nan
151,5,25,12,1,12,473,2,8,24,12,2,0,1,3,2,3,1.66667,0.6,3
152,0,27,14,0,13,473,0,8,27,14,0,0,0,0,0,0,nan,nan,nan
153,0,19,10,0,9,481,0,8,19,10,0,0,0,0,0,0,nan,nan,nan
154,0,17,9,0,8,483,0,8,17,9,0,0,0,0,0,0,nan,nan,nan
155,3,17,8,1,8,483,0,8,16,8,2,0,1,3,2,1,1,0.333333,1
156,2,26,13,0,13,474,0,8,26,13,2,0,0,2,2,0,1,0,nan
157,3,15,7,1,7,483,2,7,14,7,0,0,1,1,0,3,3,1,3
158,1,15,8,0,7,485,0,7,15,8,1,0,0,1,1,0,1,0,nan
159,2,17,9,0,8,483,0,8,17,9,2,0,0,2,2,0,1,0,nan
160,0,13,7,0,6,487,0,6,13,7,0,0,0,0,0,0,nan,nan,nan
161,3,25,12,1,12,475,0,8,24,12,2,0,1,3,2,1,1,0.333333,1
162,1,23,12,0,11,477,0,8,23,12,1,0,0,1,1,0,1,0,nan
163,2,17,9,0,8,483,0,7,17,9,2,0,0,2,2,0,1,0,nan
164,1,17,9,0,8,483,0,8,17,9,1,0,0,1,1,0,1,0,nan
165,0,29,15,0,14,471,0,6,29,15,0,0,0,0,0,0,nan,nan,nan
166,1,29,14,1,14,471,0,8,28,14,0,0,1,1,0,1,1,1,1
167,2,23,11,1,11,477,0,8,22,11,1,0,1,2,1,1,1,0.5,1
168,0,19,10,0,9,481,0,7,19,10,0,0,0,0,0,0,nan,nan,nan
169,4,17,8,1,8,481,2,7,16,8,1,0,1,2,1,3,2,0.75,3
170,2,17,8,1,8,483,0,8,16,8,1,0,1,2,1,1,1,0.5,1
171,2,17,8,1,8,483,0,8,16,8,1,0,1,2,1,1,1,0.5,1
172,5,25,11,2,12,473,2,8,23,11,1,0,2,3,1,4,1.66667,0.8,2
173,4,19,7,3,9,481,0,8,16,7,1,0,3,4,1,3,1,0.75,1
174,3,23,12,0,11,477,0,8,23,12,3,0,0,3,3,0,1,0,nan
175,4,27,13,1,13,473,0,8,26,13,3,0,1,4,3,1,1,0.25,1
176,1,23,11,1,11,477,0,8,22,11,0,0,1,1,0,1,1,1,1
177,3,23,10,2,11,477,0,8,21,10,1,0,2,3,1,2,1,0.666667,1
178,2,29,14,1,14,471,0,8,28,14,1,0,1,2,1,1,1,0.5,1
179,1,23,12,0,11,477,0,8,23,12,1,0,0,1,1,0,1,0,nan
180,2,17,8,1,8,483,0,8,16,8,1,0,1,2,1,1,1,0.5,1
181,3,33,15,2,16,467,0,8,31,15,1,0,2,3,1,2,1,0.666667,1
182,1,17,8,1,8,483,0,8,16,8,0,0,1,1,0,1,1,1,1
183,1,17,9,0,8,483,0,8,17,9,1,0,0,1,1,0,1,0,nan
184,1,23,11,1,11,477,0,8,22,11,0,0,1,1,0,1,1,1,1
185,3,21,9,2,10,479,0,8,19,9,1,0,2,3,1,2,1,0.666667,1
186,3,31,14,2,15,469,0,8,29,14,1,0,2,3,1,2,1,0.666667,1
187,4,21,10,1,10,479,0,8,20,10,3,0,1,4,3,1,1,0.25,1
188,0,13,7,0,6,487,0,6,13,7,0,0,0,0,0,0,nan,nan,nan
189,2,19,9,1,9,481,0,8,18,9,1,0,1,2,1,1,1,0.5,1
190,1,17,9,0,8,483,0,8,17,9,1,0,0,1,1,0,1,0,nan
191,2,21,10,1,10,479,0,8,20,10,1,0,1,2,1,1,1,0.5,1
192,2,17,8,1,8,483,0,8,16,8,1,0,1,2,1,1,1,0.5,1
193,0,15,8,0,7,485,0,7,15,8,0,0,0,0,0,0,nan,nan,nan
194,0,16,8,0,8,484,0,8,16,8,0,0,0,0,0,0,nan,nan,nan
195,2,27,13,1,13,473,0,8,26,13,1,0,1,2,1,1,1,0.5,1
196,3,23,11,1,11,477,0,8,22,11,2,0,1,3,2,1,1,0.333333,1
197,2,17,9,0,8,483,0,7,17,9,2,0,0,2,2,0,1,0,nan
198,2,17,8,1,8,483,0,8,16,8,1,0,1,2,1,1,1,0.5,1
199,2,19,9,1,9,481,0,8,18,9,1,0,1,2,1,1,1,0.5,1
200,5,41,19,2,20,459,0,8,39,19,3,0,2,5,3,2,1,0.4,1
201,2,17,8,1,8,483,0,8,16,8,1,0,1,2,1,1,1,0.5,1
202,0,17,9,0,8,483,0,7,17,9,0,0,0,0,0,0,nan,nan,nan
203,2,17,8,1,8,483,0,8,16,8,1,0,1,2,1,1,1,0.5,1
204,2,30,15,0,15,470,0,8,30,15,2,0,0,2,2,0,1,0,nan
205,3,17,8,1,8,483,0,8,16,8,2,0,1,3,2,1,1,0.333333,1
206,3,27,12,2,13,473,0,8,25,12,1,0,2,3,1,2,1,0.666667,1
207,5,21,9,2,10,479,0,8,19,9,3,0,2,5,3,2,1,0.4,1
