group_idx,group_size,K_point,K_subtree
0,13,6,7
1,5,3,2
2,13,5,8
3,2,2,0
4,5,3,2
5,7,2,5
6,12,4,8
7,8,3,5
8,4,3,1
9,10,5,5
10,6,3,3
11,5,1,4
12,15,5,10
13,11,4,7
14,9,4,5
15,13,3,10
16,15,11,4
17,6,4,2
18,15,6,9
19,15,8,7
20,14,5,9
21,16,6,10
22,10,5,5
23,14,4,10
24,16,10,6
25,18,12,6
26,1,1,0
27,21,10,11
28,14,6,8
29,14,7,7
30,18,8,10
31,15,3,12
32,13,9,4
33,3,3,0
34,6,1,5
35,8,4,4
36,7,3,4
37,7,3,4
38,7,2,5
39,13,9,4
40,3,3,0
41,23,6,17
42,4,4,0
43,8,3,5
44,12,5,7
45,6,2,4
46,13,6,7
47,5,0,5
48,18,12,6
49,5,1,4
50,23,9,14
51,11,5,6
52,5,3,2
53,4,3,1
54,12,6,6
55,8,5,3
56,23,10,13
57,1,0,1
58,6,3,3
59,9,4,5
60,19,15,4
61,10,1,9
62,19,10,9
63,1,0,1
64,12,8,4
65,6,0,6
66,4,1,3
67,19,10,9
68,13,6,7
69,4,3,1
70,9,5,4
71,5,2,3
72,4,3,1
73,12,5,7
74,13,7,6
75,10,2,8
76,4,1,3
77,15,6,9
78,14,6,8
79,11,5,6
80,13,6,7
81,19,3,16
82,17,10,7
83,12,11,1
84,8,3,5
85,10,5,5
86,9,6,3
87,5,3,2
88,18,8,10
89,7,4,3
90,16,6,10
91,12,3,9
92,9,1,8
93,9,1,8
94,10,5,5
95,9,4,5
96,13,5,8
97,11,5,6
98,11,3,8
99,18,9,9
100,14,6,8
101,13,6,7
102,3,3,0
103,3,1,2
104,6,3,3
105,12,6,6
106,4,2,2
107,7,5,2
108,7,2,5
109,15,7,8
110,15,6,9
111,9,6,3
112,7,1,6
113,16,8,8
114,6,4,2
115,12,3,9
116,12,6,6
117,16,6,10
118,6,2,4
119,8,1,7
120,11,4,7
121,8,4,4
122,9,8,1
123,12,1,11
124,13,5,8
125,4,2,2
126,9,3,6
127,12,4,8
128,5,2,3
129,12,8,4
130,7,5,2
131,17,9,8
132,6,4,2
133,10,2,8
134,6,3,3
135,8,6,2
136,8,4,4
137,4,2,2
138,4,2,2
139,14,8,6
140,10,2,8
141,5,3,2
142,10,4,6
143,9,5,4
144,27,9,18
145,7,4,3
146,7,4,3
147,16,9,7
148,7,3,4
149,8,3,5
150,10,3,7
151,8,5,3
152,10,2,8
153,18,7,11
154,16,3,13
155,6,4,2
156,4,2,2
157,10,3,7
158,2,1,1
159,4,2,2
160,15,7,8
161,18,16,2
162,4,1,3
163,16,9,7
164,14,6,8
165,12,3,9
166,13,6,7
167,16,6,10
168,19,3,16
169,17,2,15
170,5,1,4
171,13,6,7
172,6,2,4
173,6,1,5
174,16,10,6
175,9,4,5
176,17,7,10
177,10,3,7
178,6,1,5
179,8,3,5
180,7,3,4
181,16,5,11
182,5,4,1
183,18,5,13
184,13,10,3
185,8,0,8
186,5,1,4
187,23,14,9
188,7,3,4
189,5,2,3
190,11,2,9
191,7,3,4
192,10,6,4
193,13,8,5
194,9,6,3
195,12,2,10
196,8,0,8
197,12,9,3
198,7,4,3
199,12,5,7
200,8,4,4
201,11,1,10
202,4,4,0
203,28,10,18
204,13,10,3
205,8,2,6
206,10,4,6
207,7,2,5
208,19,8,11
209,20,9,11
210,9,5,4
211,9,7,2
212,3,2,1
213,2,2,0
214,16,5,11
215,11,4,7
216,6,4,2
217,5,5,0
218,3,2,1
219,10,2,8
220,4,2,2
221,8,5,3
222,23,4,19
223,12,6,6
224,19,11,8
225,13,8,5
226,9,5,4
227,6,2,4
228,7,3,4
229,8,2,6
230,12,9,3
231,19,10,9
232,6,4,2
233,14,5,9
234,4,0,4
235,2,1,1
236,7,2,5
237,12,4,8
238,6,5,1
239,13,4,9
240,10,4,6
241,6,5,1
242,9,4,5
243,13,8,5
244,3,1,2
245,10,8,2
246,5,2,3
247,6,4,2
248,1,1,0
249,5,4,1
250,6,1,5
251,10,4,6
252,13,9,4
253,16,3,13
254,25,8,17
255,4,3,1
256,7,5,2
257,3,2,1
258,7,2,5
259,8,3,5
260,14,8,6
261,12,10,2
262,10,3,7
263,17,10,7
264,10,5,5
265,7,2,5
266,10,5,5
267,8,4,4
268,21,6,15
269,9,2,7
270,5,3,2
271,4,1,3
272,14,13,1
273,12,5,7
274,13,6,7
275,14,8,6
276,17,10,7
277,10,2,8
278,8,2,6
279,20,12,8
280,11,6,5
281,6,1,5
282,8,3,5
283,14,7,7
284,12,7,5
285,7,4,3
286,11,6,5
287,11,3,8
288,11,8,3
289,11,5,6
290,11,2,9
291,3,1,2
292,7,4,3
293,15,2,13
294,6,2,4
295,15,12,3
296,2,1,1
297,4,1,3
298,16,9,7
299,17,12,5
300,8,3,5
301,5,0,5
302,10,7,3
303,14,8,6
304,13,1,12
305,3,1,2
306,9,6,3
307,22,7,15
308,9,4,5
309,10,6,4
310,23,6,17
311,9,5,4
312,10,4,6
313,15,6,9
314,1,0,1
315,11,4,7
316,6,6,0
317,10,4,6
318,5,4,1
319,12,3,9
320,12,8,4
321,4,4,0
322,9,2,7
323,5,4,1
324,10,7,3
325,7,5,2
326,20,12,8
327,3,2,1
328,7,6,1
329,4,2,2
330,3,1,2
331,6,2,4
332,11,3,8
333,8,3,5
334,15,6,9
335,9,7,2
336,9,6,3
337,12,8,4
338,5,0,5
339,11,4,7
340,14,5,9
341,7,4,3
342,7,3,4
343,10,1,9
344,3,0,3
345,13,8,5
346,5,0,5
347,22,11,11
348,10,4,6
349,8,1,7
350,12,4,8
351,11,5,6
352,5,2,3
353,8,3,5
354,10,5,5
355,9,6,3
356,16,6,10
357,4,1,3
358,6,2,4
359,6,0,6
360,13,9,4
361,12,4,8
362,8,1,7
363,6,3,3
364,5,2,3
365,2,1,1
366,15,7,8
367,9,5,4
368,8,4,4
369,21,6,15
370,16,8,8
371,5,0,5
372,17,8,9
373,17,7,10
374,8,6,2
375,5,2,3
376,13,4,9
377,10,7,3
378,16,7,9
379,6,1,5
380,9,6,3
381,6,2,4
382,7,4,3
383,2,1,1
384,10,3,7
385,8,3,5
386,12,6,6
387,11,4,7
388,6,2,4
389,17,4,13
390,3,3,0
391,18,7,11
392,15,9,6
